requested_density,priority_scenario,treatment_mode,controller_fraction,pairs,priority_speed_delta_mean,priority_speed_delta_ci95_low,priority_speed_delta_ci95_high,worst_priority_speed_delta_mean,worst_priority_speed_delta_ci95_low,worst_priority_speed_delta_ci95_high,background_flow_ratio_mean,background_flow_loss_mean,sufficient_pairs,pv_improvement_significant,background_flow_acceptable,effective_region
0.05,one,baseline2_all_hdv_yield,1.0,10,0.5277500000000003,0.35444875000000037,0.6578012500000001,0.5277500000000003,0.3508487500000002,0.6586037500000002,0.9775897507419746,0.022410249258025372,True,True,True,True
0.05,one,baseline2_matched_0.050,0.05,10,0.02350000000000012,-0.039049999999999856,0.08350250000000005,0.02350000000000012,-0.03835249999999995,0.08200375000000015,0.9993579600874318,0.0006420399125681708,True,False,True,False
0.05,one,baseline2_matched_0.200,0.2,10,-0.0285499999999999,-0.11699999999999991,0.049303750000000236,-0.0285499999999999,-0.11485124999999993,0.049602499999999924,0.9992547960870818,0.0007452039129182131,True,False,True,False
0.05,one,baseline2_matched_0.350,0.35,10,0.1416500000000001,0.06580000000000004,0.2168000000000001,0.1416500000000001,0.06734750000000035,0.21735125000000005,0.9999069091134285,9.309088657150077e-05,True,True,True,True
0.05,one,baseline2_matched_0.500,0.5,10,0.06530000000000005,-0.04170000000000016,0.18180375000000018,0.06530000000000005,-0.03955250000000026,0.1818512500000001,0.9985581667700307,0.0014418332299692693,True,False,True,False
0.05,one,baseline2_matched_0.650,0.65,10,0.28345000000000004,0.18330000000000019,0.3714512500000001,0.28345000000000004,0.1839487500000001,0.37170125,0.9970333111540632,0.00296668884593676,True,True,True,True
0.05,one,baseline2_matched_0.800,0.8,10,0.3133000000000001,0.23029875000000027,0.40185125000000005,0.3133000000000001,0.22739500000000015,0.40140125000000015,0.9952931122556405,0.004706887744359456,True,True,True,True
0.05,one,baseline2_matched_0.950,0.95,10,0.45565000000000017,0.278345,0.5977025000000001,0.45565000000000017,0.27669500000000025,0.59825,0.9853908476361918,0.01460915236380822,True,True,True,True
0.05,two-2g,baseline2_all_hdv_yield,1.0,10,0.57345,0.5089499999999998,0.6472325,0.6054,0.5448475000000002,0.6736525,0.9756152671855253,0.02438473281447473,True,True,True,True
0.05,two-2g,baseline2_matched_0.050,0.05,10,-0.00625,-0.0720787500000002,0.056753125000000126,-0.003900000000000059,-0.07700250000000011,0.06505249999999997,1.0002861054913776,-0.00028610549137764174,True,False,True,False
0.05,two-2g,baseline2_matched_0.200,0.2,10,0.05942499999999997,-0.02007625000000027,0.14642750000000013,0.03399999999999999,-0.05450125000000007,0.13160125000000006,0.999848673270771,0.0001513267292290177,True,False,True,False
0.05,two-2g,baseline2_matched_0.350,0.35,10,0.1029749999999999,-0.008950624999999832,0.2103756249999999,0.10540000000000002,0.00029875000000010975,0.21345125000000006,0.9999882335994043,1.1766400595747406e-05,True,False,True,False
