requested_density,effective_density_mean,priority_scenario,mode,runs,controller_fraction,flow_all_mean,flow_all_std,flow_all_sem,flow_background_mean,flow_background_std,flow_background_sem,mean_speed_all_mean,mean_speed_all_std,mean_speed_all_sem,mean_speed_background_mean,mean_speed_background_std,mean_speed_background_sem,mean_speed_priority_mean,mean_speed_priority_std,mean_speed_priority_sem,worst_priority_mean_speed_mean,worst_priority_mean_speed_std,worst_priority_mean_speed_sem,mean_priority_time_loss_mean,mean_priority_time_loss_std,mean_priority_time_loss_sem,stopped_fraction_all_mean,stopped_fraction_all_std,stopped_fraction_all_sem,stopped_fraction_priority_mean,stopped_fraction_priority_std,stopped_fraction_priority_sem,lane_change_rate_all_mean,lane_change_rate_all_std,lane_change_rate_all_sem,lane_change_rate_priority_mean,lane_change_rate_priority_std,lane_change_rate_priority_sem,rule_requests_mean,rule_requests_std,rule_requests_sem,rule_applied_mean,rule_applied_std,rule_applied_sem
0.05,0.05,one,baseline1_hdv,10,0.0,0.24970982500000088,0.0006277751892155702,0.00019851994564643749,0.24836976249999113,0.0006398882320178933,0.00020235042611148246,4.994196499999982,0.012555503784312257,0.003970398912929019,4.992357035175872,0.012862075015512625,0.004067345248496543,5.36025,0.10021650174608082,0.03169124046518568,5.36025,0.10021650174608082,0.03169124046518568,0.10662500000000001,0.01670275029101348,0.005281873410864282,1.1e-05,7.3786478737262175e-06,2.3333333333333327e-06,0.00205,0.0014615440845595837,0.0004621808207954016,0.00015475,4.162414496952994e-05,1.3162710376075453e-05,0.0304,0.0081574778237176,0.0025796209885261137,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.05,one,baseline2_all_hdv_yield,10,1.0,0.24427466250000088,0.0021774822840607416,0.00068858035822977,0.24280266250000015,0.0022297282898812425,0.0007051019959336897,4.885493249999998,0.04354964568117802,0.01377160716458376,4.880455527638182,0.04481865909310393,0.014172904440882495,5.888,0.22974273051006902,0.07265103042780756,5.888,0.22974273051006902,0.07265103042780756,0.01866666666666663,0.038290455085011506,0.01210850507130126,5.5e-06,8.06225774829855e-06,2.5495097567963924e-06,0.00075,0.0014766704288891124,0.0004669641908707299,0.00025825,9.015457405047301e-05,2.8509379548180666e-05,0.0002,0.00048304589153964797,0.00015275252316519465,70.1,14.533103973725334,4.595771002901592,70.1,14.533103973725334,4.595771002901592
0.05,0.05,one,baseline2_matched_0.050,10,0.05,0.249556950000001,0.0009508630294081298,0.00030068929157773573,0.24821101249999167,0.0009519910940878993,0.0003010460169513417,4.9911389999999916,0.01901726058815292,0.006013785831551655,4.989166080402003,0.0191354993787215,0.006051176220149689,5.38375,0.09906205967304874,0.03132617382743489,5.38375,0.09906205967304874,0.03132617382743489,0.10270833333333332,0.016510343278841457,0.005221028971239149,1.225e-05,8.287373260301213e-06,2.620697532252731e-06,0.0023,0.001735255344642716,0.0005487359211051443,0.0001805,6.0343921722812226e-05,1.9082423559099847e-05,0.03005,0.008213978600193968,0.002597488102849452,8.9,6.100091074001364,1.9290181728307048,8.9,6.100091074001364,1.9290181728307048
0.05,0.05,one,baseline2_matched_0.200,10,0.2,0.24951817500000167,0.0009009808085427386,0.0002849151483095146,0.248185249999992,0.0008905874387764577,0.00028162847620693664,4.990363499999984,0.018019616170842107,0.005698302966186286,4.988648241206034,0.017901255050832763,0.005660873893622481,5.3317,0.11834112650394286,0.03742275006225786,5.3317,0.11834112650394286,0.03742275006225786,0.11138333333333332,0.019723521083990486,0.006237125010376312,1.625e-05,7.927623996016852e-06,2.5069348260818865e-06,0.0031,0.001449137674618944,0.000458257569495584,0.00014324999999999999,5.46205343966697e-05,1.7272529570904713e-05,0.01905,0.007484984969924789,0.002366960075708925,17.2,7.29992389610254,2.308438625757438,17.2,7.29992389610254,2.308438625757438
0.05,0.05,one,baseline2_matched_0.350,10,0.35,0.24972092500000254,0.00016022716295916432,5.0668277797792375e-05,0.2483454499999922,0.0001595478224194345,5.045345145654894e-05,4.99441849999998,0.003204543259186408,0.0010133655559568346,4.991868341708537,0.003206991405426773,0.0010141397277733078,5.5019,0.08464757002484549,0.026767911967710743,5.5019,0.08464757002484549,0.026767911967710743,0.08301666666666667,0.014107928337474254,0.004461318661285125,1.0500000000000001e-05,5.244044240850758e-06,1.6583123951777e-06,0.0019,0.0010488088481701515,0.00033166247903553995,0.0002535,4.5478932851742833e-05,1.4381701336536416e-05,0.02395,0.002832843094843059,0.0008958236433584459,48.5,11.918706119187416,3.7690258098818523,48.5,11.918706119187416,3.7690258098818523
0.05,0.05,one,baseline2_matched_0.500,10,0.5,0.24936835000000235,0.0008012045332918399,0.0002533631196854418,0.24801196249999383,0.0007964392960256154,0.00025185621935020343,4.98736699999998,0.016024090665816455,0.005067262393702403,4.985165075376869,0.01600883007091806,0.005062436569869595,5.425549999999999,0.18032724111705614,0.057024480610426344,5.425549999999999,0.18032724111705614,0.057024480610426344,0.09574166666666667,0.03005454018617603,0.009504080101737726,1.55e-05,9.189365834726814e-06,2.9059326290271153e-06,0.00295,0.001862644476126468,0.0005890199015690763,0.00021124999999999998,6.829521294432803e-05,2.1596842619029084e-05,0.01585,0.005270726283497897,0.0016667499979167706,48.3,17.776701356300926,5.621486557051535,48.3,17.776701356300926,5.621486557051535
0.05,0.05,one,baseline2_matched_0.650,10,0.65,0.24904267500000202,0.0005632003454971462,0.00017809958707647384,0.24763174999999732,0.0005849810004009056,0.00018498723491907333,4.9808534999999665,0.011264006909907483,0.0035619917415182687,4.9775226130653145,0.011758412068410296,0.003718336380298814,5.6437,0.13206000319719988,0.041761039791226987,5.6437,0.13206000319719988,0.041761039791226987,0.05938333333333336,0.022010000532866652,0.006960173298537833,8.25e-06,6.876893678592586e-06,2.1746647251166482e-06,0.0014500000000000001,0.0013834337312964755,0.0004374801582802229,0.000303,6.409411482777148e-05,2.026833874681286e-05,0.015,0.0024152294576982396,0.0007637626158259732,82.2,17.376868404737245,5.4950482759986325,82.2,17.376868404737245,5.4950482759986325
0.05,0.05,one,baseline2_matched_0.800,10,0.8,0.24861817500000072,0.0008347431599332478,0.000263968964663527,0.2471997875000001,0.0008436492615782704,0.0002667853212906514,4.972363499999966,0.016694863198650305,0.005279379293265907,4.968839949748725,0.01695777410208805,0.005362519020921494,5.6735500000000005,0.11087591913686422,0.03506204421371414,5.6735500000000005,0.11087591913686422,0.03506204421371414,0.05440833333333332,0.01847931985614403,0.005843674035619022,1.1e-05,5.552777082985894e-06,1.7559422921421231e-06,0.0017500000000000003,0.0012304019216861166,0.000389087250997625,0.000303,6.998809422561335e-05,2.2132178684741663e-05,0.008,0.002260776661041756,0.0007149203529842405,90.4,18.780604652436278,5.938948653685356,90.4,18.780604652436278,5.938948653685356
0.05,0.05,one,baseline2_matched_0.950,10,0.95,0.2461949875000012,0.0017255451105800887,0.000545665275480019,0.24474101250000008,0.0017767204831294953,0.0005618483492163972,4.923899749999991,0.03451090221157821,0.010913305509592928,4.919417336683411,0.0357129745352753,0.011293434155106327,5.8159,0.24125180482917288,0.07629051928865953,5.8159,0.24125180482917288,0.07629051928865953,0.03068333333333333,0.04020863413819548,0.012715086548109922,6.75e-06,8.901466795484389e-06,2.8148909590090894e-06,0.001,0.0015811388300841897,0.0005,0.00029575,7.171558408044936e-05,2.2678458942353205e-05,0.0023,0.0009775252199076788,0.00030912061651652346,91.3,25.311613496136072,8.004234990164754,91.3,25.311613496136072,8.004234990164754
0.05,0.05,two-2g,baseline1_hdv,10,0.0,0.24961587499999963,0.0011255470182434466,0.0003559292191260382,0.24692557500000398,0.001135881475503171,0.00035919726145827735,4.9923174999999835,0.022510940364864482,0.007118584382519357,4.988395454545449,0.022947100515196325,0.007256510332484364,5.380599999999999,0.12690100034628943,0.04012961984480908,5.34295,0.12270820175431539,0.038803740512710586,0.10323333333333333,0.021150166724381525,0.006688269974134832,2.4000000000000004e-05,1.955050439815358e-05,6.182412330330471e-06,0.00235,0.001955050439815357,0.0006182412330330468,0.00031375,0.0001051206317628572,3.3242062544646984e-05,0.0306,0.010234201917535577,0.0032363388093475144,0.0,0.0,0.0,0.0,0.0,0.0
