requested_density,effective_density,density_index,run_index,av_fraction,treatment_mode,comparison_mode,pv_speed_treatment,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta,completed_priority_laps_delta,priority_lap_time_delta
0.05,0.05,0,0,0.9,baseline2_matched,baseline1_hdv,5.909,5.452,0.45699999999999985,1.0838224504768892,-0.07616666666666672,-0.0018373749999881228,0.9926092559528923,-0.03446249999998319,-0.002,1.0,-14.73636363636362
0.05,0.05,0,0,0.9,noop,baseline1_hdv,5.364,5.452,-0.08800000000000008,0.9838591342626559,0.014666666666666606,2.3499999999676557e-05,1.0000945275107727,3.0000000069030364e-05,-0.0005,0.0,1.700000000000017
0.05,0.05,0,0,0.9,noop,baseline2_matched,5.364,5.909,-0.5449999999999999,0.9077678118124894,0.09083333333333332,0.0018608749999877994,1.0075410051971503,0.03449250000005222,0.0015,-1.0,16.436363636363637
0.05,0.05,0,0,0.9,left_if_safe,baseline1_hdv,5.9085,5.452,0.45650000000000013,1.0837307410124726,-0.07608333333333339,-0.009199124999990843,0.9629970047852391,-0.18169999999994868,-0.002,1.0,-14.73636363636362
0.05,0.05,0,0,0.9,left_if_safe,baseline2_matched,5.9085,5.909,-0.0004999999999997229,0.9999153833135895,8.333333333332416e-05,-0.00736175000000272,0.9701672627067881,-0.1472374999999655,0.0,0.0,0.0
0.05,0.05,0,0,0.9,left_if_safe,noop,5.9085,5.364,0.5445000000000002,1.101510067114094,-0.09075,-0.00922262499999052,0.9629059836794939,-0.1817300000000177,-0.0015,1.0,-16.436363636363637
0.05,0.05,0,0,0.9,graph_ppo,baseline1_hdv,5.7995,5.452,0.34750000000000014,1.063738077769626,-0.05791666666666673,-0.0090253749999894,0.9636959049978816,-0.17876999999995302,-0.002,1.0,-11.918181818181807
0.05,0.05,0,0,0.9,graph_ppo,baseline2_matched,5.7995,5.909,-0.10949999999999971,0.9814689456760873,0.01824999999999999,-0.007188000000001277,0.9708713667723617,-0.14430749999996983,0.0,0.0,2.818181818181813
0.05,0.05,0,0,0.9,graph_ppo,noop,5.7995,5.364,0.4355000000000002,1.0811894108873976,-0.07258333333333333,-0.009048874999989076,0.9636048178330834,-0.17880000000002205,-0.0015,1.0,-13.618181818181824
0.05,0.05,0,0,0.9,graph_ppo,left_if_safe,5.7995,5.9085,-0.10899999999999999,0.9815520013539816,0.018166666666666664,0.00017375000000144358,1.0007257553337856,0.0029299999999956583,0.0,0.0,2.818181818181813
0.05,0.05,0,0,0.9,node_mlp_ppo,baseline1_hdv,5.731,5.452,0.2789999999999999,1.0511738811445341,-0.046499999999999986,-0.006211249999989926,0.9750155744130513,-0.12282999999994537,-0.0015,1.0,-9.463636363636368
0.05,0.05,0,0,0.9,node_mlp_ppo,baseline2_matched,5.731,5.909,-0.17799999999999994,0.9698764596378406,0.02966666666666673,-0.004373875000001803,0.9822753198861204,-0.08836749999996218,0.0005,0.0,5.272727272727252
0.05,0.05,0,0,0.9,node_mlp_ppo,noop,5.731,5.364,0.367,1.0684190902311708,-0.06116666666666659,-0.006234749999989603,0.9749234173292173,-0.1228600000000144,-0.001,1.0,-11.163636363636385
0.05,0.05,0,0,0.9,node_mlp_ppo,left_if_safe,5.731,5.9085,-0.1775000000000002,0.9699585343149699,0.029583333333333406,0.002987875000000917,1.0124803811103156,0.05887000000000331,0.0005,0.0,5.272727272727252
0.05,0.05,0,0,0.9,grid_cnn_ppo,baseline1_hdv,5.8605,5.452,0.4085000000000001,1.0749266324284665,-0.06808333333333338,-0.0024948749999892383,0.9899644968748528,-0.04785499999996112,-0.001,1.0,-13.190909090909088
0.05,0.05,0,0,0.9,grid_cnn_ppo,baseline2_matched,5.8605,5.909,-0.048499999999999766,0.9917921814181757,0.008083333333333331,-0.0006575000000011155,0.997335548643962,-0.013392499999977936,0.001,0.0,1.5454545454545325
0.05,0.05,0,0,0.9,grid_cnn_ppo,noop,5.8605,5.364,0.49650000000000016,1.0925615212527964,-0.08274999999999999,-0.002518374999988915,0.9898709268401524,-0.04788500000003015,-0.0005,1.0,-14.890909090909105
0.05,0.05,0,0,0.9,grid_cnn_ppo,left_if_safe,5.8605,5.9085,-0.04800000000000004,0.9918761106879919,0.008000000000000007,0.006704250000001605,1.0280037133611104,0.13384499999998756,0.001,0.0,1.5454545454545325
0.05,0.05,0,0,0.9,graph_ppo,node_mlp_ppo,5.7995,5.731,0.06850000000000023,1.01195253882394,-0.011416666666666742,-0.0028141249999994733,0.9883902681021439,-0.05594000000000765,-0.0005,0.0,-2.454545454545439
0.05,0.05,0,0,0.9,graph_ppo,grid_cnn_ppo,5.7995,5.8605,-0.06099999999999994,0.9895913317976281,0.010166666666666657,-0.006530500000000161,0.9734651172240049,-0.1309149999999919,-0.001,0.0,1.2727272727272805
0.05,0.05,0,0,0.9,node_mlp_ppo,grid_cnn_ppo,5.731,5.8605,-0.12950000000000017,0.9779029093080794,0.0215833333333334,-0.003716375000000688,0.9848995367924884,-0.07497499999998425,-0.0005,0.0,3.7272727272727195
0.05,0.05,0,0,0.95,baseline2_matched,baseline1_hdv,5.971,5.452,0.5190000000000001,1.0951944240645635,-0.08650000000000002,-0.005106749999989502,0.9794583674194253,-0.09953999999996022,-0.002,1.0,-16.554545454545462
0.05,0.05,0,0,0.95,noop,baseline1_hdv,5.4905,5.452,0.03849999999999998,1.007061628760088,-0.006416666666666737,2.749999999959729e-05,1.0001106172998402,0.0007425000000269577,-0.0015,0.0,-2.1999999999999886
0.05,0.05,0,0,0.95,noop,baseline2_matched,5.4905,5.971,-0.48050000000000015,0.9195277173002847,0.08008333333333328,0.005134249999989099,1.0210853779674447,0.10028249999998717,0.0005,-1.0,14.354545454545473
0.05,0.05,0,0,0.95,left_if_safe,baseline1_hdv,5.946,5.452,0.4939999999999998,1.090608950843727,-0.08233333333333337,-0.010190499999990194,0.9590092511259458,-0.20133999999994856,-0.002,1.0,-15.73636363636362
0.05,0.05,0,0,0.95,left_if_safe,baseline2_matched,5.946,5.971,-0.025000000000000355,0.9958130966337296,0.004166666666666652,-0.005083750000000692,0.9791220158266077,-0.10179999999998834,0.0,0.0,0.8181818181818414
0.05,0.05,0,0,0.95,left_if_safe,noop,5.946,5.4905,0.4554999999999998,1.0829614789181312,-0.07591666666666663,-0.01021799999998979,0.9589031798453832,-0.20208249999997552,-0.0005,1.0,-13.536363636363632
0.05,0.05,0,0,0.95,graph_ppo,baseline1_hdv,5.9425,5.452,0.49049999999999994,1.08996698459281,-0.08174999999999999,-0.009819749999990607,0.9605005734501746,-0.19394249999996482,-0.002,1.0,-15.645454545454527
0.05,0.05,0,0,0.95,graph_ppo,baseline2_matched,5.9425,5.971,-0.028500000000000192,0.9952269301624518,0.004750000000000032,-0.004713000000001105,0.9806446148199248,-0.09440250000000461,0.0,0.0,0.9090909090909349
0.05,0.05,0,0,0.95,graph_ppo,noop,5.9425,5.4905,0.45199999999999996,1.0823240142063564,-0.07533333333333325,-0.009847249999990204,0.9603943372218093,-0.19468499999999178,-0.0005,1.0,-13.445454545454538
0.05,0.05,0,0,0.95,graph_ppo,left_if_safe,5.9425,5.946,-0.0034999999999998366,0.9994113689875547,0.0005833333333333801,0.0003707499999995867,1.0015550656289058,0.0073974999999837365,0.0,0.0,0.09090909090909349
0.05,0.05,0,0,0.95,node_mlp_ppo,baseline1_hdv,5.9435,5.452,0.49150000000000027,1.0901504035216434,-0.08191666666666675,-0.008448249999989554,0.966017359876833,-0.1665074999999563,-0.002,1.0,-15.645454545454527
0.05,0.05,0,0,0.95,node_mlp_ppo,baseline2_matched,5.9435,5.971,-0.027499999999999858,0.9953944062971027,0.004583333333333273,-0.0033415000000000528,0.9862771017230624,-0.06696749999999607,0.0,0.0,0.9090909090909349
0.05,0.05,0,0,0.95,node_mlp_ppo,noop,5.9435,5.4905,0.4530000000000003,1.0825061469811492,-0.07550000000000001,-0.008475749999989152,0.9659105134639464,-0.16724999999998325,-0.0005,1.0,-13.445454545454538
0.05,0.05,0,0,0.95,node_mlp_ppo,left_if_safe,5.9435,5.946,-0.0024999999999995026,0.9995795492768248,0.0004166666666666208,0.0017422500000006391,1.0073076550019295,0.03483249999999227,0.0,0.0,0.09090909090909349
0.05,0.05,0,0,0.95,grid_cnn_ppo,baseline1_hdv,5.8295,5.452,0.3775000000000004,1.0692406456346295,-0.06291666666666673,-0.003433624999988477,0.9861884245029844,-0.06678499999996035,-0.002,1.0,-12.463636363636368
0.05,0.05,0,0,0.95,grid_cnn_ppo,baseline2_matched,5.8295,5.971,-0.14149999999999974,0.9763021269469101,0.02358333333333329,0.0016731250000010245,1.0068712028070073,0.03275499999999987,0.0,0.0,4.0909090909090935
0.05,0.05,0,0,0.95,grid_cnn_ppo,noop,5.8295,5.4905,0.3390000000000004,1.0617430106547674,-0.056499999999999995,-0.0034611249999880744,0.9860793470681836,-0.0675274999999873,-0.0005,1.0,-10.26363636363638
0.05,0.05,0,0,0.95,grid_cnn_ppo,left_if_safe,5.8295,5.946,-0.11649999999999938,0.9804069963000337,0.019416666666666638,0.006756875000001716,1.0283408875828135,0.1345549999999882,0.0,0.0,3.272727272727252
0.05,0.05,0,0,0.95,graph_ppo,node_mlp_ppo,5.9425,5.9435,-0.001000000000000334,0.9998317489694624,0.00016666666666675933,-0.0013715000000010524,0.9942891435953471,-0.027435000000008536,0.0,0.0,0.0
0.05,0.05,0,0,0.95,graph_ppo,grid_cnn_ppo,5.9425,5.8295,0.11299999999999955,1.019384166738142,-0.018833333333333258,-0.00638612500000213,0.9739523904209727,-0.12715750000000448,0.0,0.0,-3.1818181818181586
0.05,0.05,0,0,0.95,node_mlp_ppo,grid_cnn_ppo,5.9435,5.8295,0.11399999999999988,1.01955570803671,-0.019000000000000017,-0.005014625000001077,0.9795464394785235,-0.09972249999999594,0.0,0.0,-3.1818181818181586
0.05,0.05,0,0,1.0,baseline2_matched,baseline1_hdv,5.9975,5.452,0.5454999999999997,1.1000550256786499,-0.09091666666666665,-0.00596087499998782,0.9760226946475282,-0.11648999999995713,-0.002,1.0,-17.372727272727275
0.05,0.05,0,0,1.0,noop,baseline1_hdv,5.4905,5.452,0.03849999999999998,1.007061628760088,-0.006416666666666737,2.749999999959729e-05,1.0001106172998402,0.0007425000000269577,-0.0015,0.0,-2.1999999999999886
