requested_density,av_fraction,treatment_mode,comparison_mode,runs,pv_speed_win_rate,pv_speed_tie_rate,pv_speed_delta_valid_runs,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,pv_speed_ratio_valid_runs,pv_speed_ratio_mean,pv_speed_ratio_std,pv_speed_ratio_ci_low,pv_speed_ratio_ci_high,priority_time_loss_delta_valid_runs,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_valid_runs,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_valid_runs,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_valid_runs,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_valid_runs,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,completed_priority_laps_delta_valid_runs,completed_priority_laps_delta_mean,completed_priority_laps_delta_std,completed_priority_laps_delta_ci_low,completed_priority_laps_delta_ci_high,priority_lap_time_delta_valid_runs,priority_lap_time_delta_mean,priority_lap_time_delta_std,priority_lap_time_delta_ci_low,priority_lap_time_delta_ci_high,pv_speed_advantage
0.05,0.9,baseline2_matched,baseline1_hdv,30,0.9333333333333333,0.0,30,0.40833333333333327,0.22993711034246658,0.32321083333333334,0.48673333333333324,30,1.0771869350430139,0.044402524840740205,1.0616876718529111,1.09238331668466,30,-0.06805555555555556,0.03832285172374444,-0.08132250000000005,-0.05438583333333336,30,-0.0016763916666576617,0.0010454590780991637,-0.002069793229157821,-0.001320180937490827,30,0.9932510984949057,0.004217237599517013,0.9916772475122336,0.994686274906331,30,-0.0314861666666667,0.020534638909489294,-0.039053589583327546,-0.024558747916664153,30,-0.0016333333333333332,0.0023302113761354925,-0.002416666666666667,-0.0008,30,0.7666666666666667,0.43018306715207627,0.6,0.9,30,-13.09848484848485,7.601428929029423,-15.733954545454544,-10.301848484848488,True
0.05,0.9,graph_ppo,baseline1_hdv,30,0.9666666666666667,0.0,30,0.48710000000000003,0.19606176014996757,0.4153645833333334,0.5540533333333334,30,1.0921669000278547,0.03862271485222717,1.078205008993912,1.105471441768375,30,-0.08118333333333336,0.03267696002499459,-0.09240284722222224,-0.06918611111111116,30,-0.007152262499990818,0.0020037569842924563,-0.007828086770823436,-0.0064113535416575424,30,0.9712161319283019,0.008061694703002588,0.9684540651767275,0.9742104030429454,30,-0.14060974999997858,0.03964142708744991,-0.15389778958330827,-0.12589287499998214,30,-0.002633333333333334,0.0022203344472108847,-0.0034166666666666672,-0.0018666666666666666,30,0.8333333333333334,0.3790490217894517,0.7,0.9666666666666667,30,-15.656969696969698,6.6256730714443455,-17.907893939393944,-13.286575757575763,True
0.05,0.9,graph_ppo,baseline2_matched,30,0.5666666666666667,0.0,30,0.07876666666666673,0.25586606589808064,-0.00621708333333329,0.1725695833333333,30,1.0151698179751933,0.047641872664632746,0.9991605950237631,1.0327769719790039,30,-0.013127777777777778,0.04264434431634678,-0.028713888888888903,0.0009891666666666616,30,-0.005475870833333157,0.0021568058335271383,-0.006201067916666225,-0.004684509062500053,30,0.9778287311305192,0.008716123245355572,0.9749340572866774,0.9811103460848584,30,-0.10912358333331189,0.04261244822111251,-0.12296229791663248,-0.09304635208331456,30,-0.001,0.0023744327816307537,-0.0019500000000000001,-0.00028333333333333335,30,0.06666666666666667,0.3651483716701107,-0.06666666666666667,0.2,30,-2.5584848484848512,8.419670776779855,-5.69061363636364,0.27433333333332793,False
0.05,0.9,graph_ppo,grid_cnn_ppo,30,0.5333333333333333,0.0,30,-0.029116666666666634,0.1756498615159565,-0.09216666666666659,0.02836666666666667,30,0.9951015661544536,0.03018429633774156,0.983627827678616,1.0048115229360042,30,0.0048527777777777874,0.029274976919326078,-0.004352847222222195,0.015872361111111125,30,-0.0035199250000008298,0.00248304266727347,-0.004364153750000748,-0.0026141470833341207,30,0.9856482930314219,0.01011014367994482,0.9822068465587026,0.9893270133472362,30,-0.07054408333332898,0.04898389178615542,-0.08709088124999148,-0.05269547291666086,30,0.00015000000000000001,0.001320592865814964,-0.00028333333333333335,0.0006333333333333333,30,-0.06666666666666667,0.2537081317024624,-0.16666666666666666,0.0,30,1.02181818181818,5.83106459701556,-0.8181818181818187,3.271515151515149,False
0.05,0.9,graph_ppo,left_if_safe,30,0.5,0.0,30,0.008516666666666744,0.22456745716174453,-0.07003666666666648,0.08747000000000006,30,1.0022704370346494,0.03992411765857154,0.9883567992134414,1.0168281842042821,30,-0.0014194444444444473,0.03742790952695743,-0.014575416666666674,0.012144791666666694,30,0.0014859291666671798,0.0018625971612253305,0.0008760346875006345,0.0021728910416673446,30,1.0062072169323544,0.007783068272858924,1.0035883346879861,1.009089254490067,30,0.029761166666664264,0.0365133196040156,0.017585589583333065,0.043560358333326235,30,-0.0002,0.0015734872319041924,-0.00075,0.00036666666666666667,30,0.03333333333333333,0.31984191497474607,-0.06666666666666667,0.13333333333333333,30,-0.3854545454545492,6.802733847710994,-2.7372878787878836,2.0103863636363597,False
0.05,0.9,graph_ppo,node_mlp_ppo,30,0.5,0.0,30,-0.01201666666666652,0.16008825601100066,-0.06931958333333327,0.044117500000000136,30,0.9983384419372219,0.028216462110570502,0.9886582752562251,1.0084234889163883,30,0.002002777777777761,0.02668137600183344,-0.007580763888888908,0.011408611111111088,30,0.0005057916666666689,0.001993521663049763,-0.00016897520833345569,0.0012507032291665635,30,1.0021196354233348,0.008292151182005054,0.9993013235160667,1.0051609274782085,30,0.010055749999996403,0.03938597617757748,-0.003210854166663607,0.024020968749994123,30,-1.6666666666666654e-05,0.0012627510561805354,-0.00048333333333333334,0.00040000000000000013,30,0.0,0.2626128657194451,-0.1,0.1,30,0.22969696969697015,5.286982639270451,-1.682507575757572,2.098484848484847,False
0.05,0.9,graph_ppo,noop,30,0.9666666666666667,0.0,30,0.4864500000000002,0.18361538465705585,0.4207500000000003,0.5490679166666667,30,1.091916134975925,0.0362079249674986,1.0788508185680639,1.104188398108035,30,-0.08107500000000002,0.03060256410950932,-0.09163902777777784,-0.07031374999999998,30,-0.007132024999991324,0.0020104733714112525,-0.007785367395823865,-0.006371098645824295,30,0.9712957945784859,0.008087091584777727,0.9686085126251881,0.9743110972261694,30,-0.14020824999998208,0.03973625660347942,-0.1533964333333118,-0.12576351666664734,30,-0.002633333333333334,0.002169273409793422,-0.0034000000000000002,-0.0018666666666666666,30,0.9333333333333333,0.2537081317024624,0.8333333333333334,1.0,30,-15.521212121212125,6.348981034669137,-17.712742424242425,-13.238424242424246,True
0.05,0.9,grid_cnn_ppo,baseline1_hdv,30,1.0,0.0,30,0.5162166666666667,0.15383481307117602,0.4614154166666667,0.5705391666666666,30,1.0978071040129342,0.031274932691342607,1.0866429411424818,1.1087641599454934,30,-0.08603611111111115,0.025639135511862674,-0.09510319444444446,-0.07701097222222228,30,-0.0036323374999899885,0.000955935289180339,-0.003976695416657285,-0.0032986243749896726,30,0.9853822048824531,0.0038451762380913076,0.984011443803635,0.9867355909102754,30,-0.07006566666664961,0.019173654427604808,-0.07703332708331853,-0.06350500833331899,30,-0.002783333333333334,0.0020831149310808453,-0.0035333333333333336,-0.0020833333333333333,30,0.9,0.3051285766293646,0.7666666666666667,1.0,30,-16.67878787878788,5.206031167844289,-18.508810606060607,-14.81877272727273,True
0.05,0.9,grid_cnn_ppo,baseline2_matched,30,0.5,0.0,30,0.10788333333333337,0.24498798997070248,0.028494583333333365,0.1987666666666666,30,1.0205619483929846,0.04636589653215069,1.0057496540080253,1.0379378911250263,30,-0.017980555555555566,0.040831331661783765,-0.033078263888888904,-0.004661111111111123,30,-0.001955945833332327,0.0014518712203924287,-0.002466285729165223,-0.0014387676041664028,30,0.9920957868381629,0.0058787672079708125,0.9901118827913519,0.9942896541775557,30,-0.038579499999982905,0.028463413285510143,-0.04832763958331491,-0.028291764583323116,30,-0.0011500000000000002,0.0024359024384517486,-0.0021,-0.0004,30,0.13333333333333333,0.34574590364176044,0.03333333333333333,0.26666666666666666,30,-3.580303030303031,8.038277295004098,-6.561515151515154,-0.9566363636363647,True
0.05,0.9,grid_cnn_ppo,left_if_safe,30,0.4,0.03333333333333333,30,0.03763333333333338,0.18696730920843796,-0.023017499999999823,0.10766666666666672,30,1.0074404335215463,0.034318171154401486,0.9963282472430373,1.0204690274408803,30,-0.006272222222222235,0.031161218201406337,-0.017958750000000002,0.0035834027777777635,30,0.005005854166668009,0.0017760447620644149,0.004299375520834719,0.005550320937501175,30,1.0209068017773597,0.007392413460873158,1.0180339931016753,1.0232197575573805,30,0.10030524999999324,0.034989641954669866,0.08698273124999499,0.11143293124999,30,-0.0003500000000000001,0.0014689311150253629,-0.0009000000000000001,0.00013333333333333334,30,0.1,0.30512857662936466,0.0,0.23333333333333334,30,-1.4072727272727292,5.741049956449674,-3.644924242424242,0.4109848484848459,False
