requested_density,effective_density_mean,av_fraction,mode,model_preset,runs,flow_all_valid_runs,flow_all_mean,flow_all_std,flow_all_sem,flow_all_ci95_low,flow_all_ci95_high,flow_background_valid_runs,flow_background_mean,flow_background_std,flow_background_sem,flow_background_ci95_low,flow_background_ci95_high,mean_speed_all_valid_runs,mean_speed_all_mean,mean_speed_all_std,mean_speed_all_sem,mean_speed_all_ci95_low,mean_speed_all_ci95_high,mean_speed_background_valid_runs,mean_speed_background_mean,mean_speed_background_std,mean_speed_background_sem,mean_speed_background_ci95_low,mean_speed_background_ci95_high,mean_speed_priority_valid_runs,mean_speed_priority_mean,mean_speed_priority_std,mean_speed_priority_sem,mean_speed_priority_ci95_low,mean_speed_priority_ci95_high,mean_priority_time_loss_valid_runs,mean_priority_time_loss_mean,mean_priority_time_loss_std,mean_priority_time_loss_sem,mean_priority_time_loss_ci95_low,mean_priority_time_loss_ci95_high,stopped_fraction_all_valid_runs,stopped_fraction_all_mean,stopped_fraction_all_std,stopped_fraction_all_sem,stopped_fraction_all_ci95_low,stopped_fraction_all_ci95_high,stopped_fraction_priority_valid_runs,stopped_fraction_priority_mean,stopped_fraction_priority_std,stopped_fraction_priority_sem,stopped_fraction_priority_ci95_low,stopped_fraction_priority_ci95_high,lane_change_rate_all_valid_runs,lane_change_rate_all_mean,lane_change_rate_all_std,lane_change_rate_all_sem,lane_change_rate_all_ci95_low,lane_change_rate_all_ci95_high,rule_requests_valid_runs,rule_requests_mean,rule_requests_std,rule_requests_sem,rule_requests_ci95_low,rule_requests_ci95_high,rule_applied_valid_runs,rule_applied_mean,rule_applied_std,rule_applied_sem,rule_applied_ci95_low,rule_applied_ci95_high,rule_rejected_valid_runs,rule_rejected_mean,rule_rejected_std,rule_rejected_sem,rule_rejected_ci95_low,rule_rejected_ci95_high,active_av_count_mean_valid_runs,active_av_count_mean_mean,active_av_count_mean_std,active_av_count_mean_sem,active_av_count_mean_ci95_low,active_av_count_mean_ci95_high,policy_left_requests_valid_runs,policy_left_requests_mean,policy_left_requests_std,policy_left_requests_sem,policy_left_requests_ci95_low,policy_left_requests_ci95_high,policy_right_requests_valid_runs,policy_right_requests_mean,policy_right_requests_std,policy_right_requests_sem,policy_right_requests_ci95_low,policy_right_requests_ci95_high,policy_stay_actions_valid_runs,policy_stay_actions_mean,policy_stay_actions_std,policy_stay_actions_sem,policy_stay_actions_ci95_low,policy_stay_actions_ci95_high,completed_priority_laps_valid_runs,completed_priority_laps_mean,completed_priority_laps_std,completed_priority_laps_sem,completed_priority_laps_ci95_low,completed_priority_laps_ci95_high,mean_priority_lap_time_valid_runs,mean_priority_lap_time_mean,mean_priority_lap_time_std,mean_priority_lap_time_sem,mean_priority_lap_time_ci95_low,mean_priority_lap_time_ci95_high
0.05,0.05,0.9,baseline1_hdv,,30,30,0.24980558333333408,0.000302493335515868,5.522747445233984e-05,0.2496973374834075,0.24991382918326066,30,0.248476583333324,0.0003087180709649618,5.636395045899675e-05,0.24836610999042438,0.24858705667622363,30,4.996111666666648,0.006049866710330356,0.0011045494890491695,4.993946749668112,4.998276583665184,30,4.994504187604684,0.006205388361172485,0.001132943727831395,4.992283617898134,4.996724757311234,30,5.316,0.13142672010904283,0.023995126420880194,5.268969552215075,5.363030447784925,30,0.11400000000000002,0.02190445335150714,0.003999187736813366,0.10616159203584583,0.12183840796415421,30,1.6e-05,9.482288389595006e-06,1.7312210825835065e-06,1.2606806678136327e-05,1.9393193321863674e-05,30,0.00315,0.001934932949029857,0.0003532688078145488,0.002457593136683484,0.003842406863316516,30,0.00013366666666666665,5.6434022101696e-05,1.0303395638614666e-05,0.00011347201121498189,0.0001538613221183514,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,30,10.1,0.30512857662936466,0.055708601453115555,9.990811141151893,10.209188858848107,30,188.14242424242423,4.685281510103328,0.8554114571151539,186.46581778647854,189.81903069836991
0.05,0.05,0.9,baseline2_matched,,30,30,0.24823127500000092,0.001187621004452102,0.00021682893796845317,0.24780629028158274,0.2486562597184191,30,0.24680019166666636,0.001212465240672795,0.00022136485416914003,0.24636631655249486,0.24723406678083787,30,4.964625499999981,0.023752420089029794,0.004336578759366828,4.956125805631622,4.97312519436834,30,4.960807872696811,0.024371160616558554,0.0044495448074235435,4.95208676487426,4.969528980519361,30,5.724333333333333,0.22512147423317821,0.04110136987210991,5.643774648383998,5.804892018282668,30,0.04594444444444445,0.037520245705529705,0.006850228312018318,0.032517996952888546,0.05937089193600035,30,9.083333333333333e-06,1.1456125701647747e-05,2.0915928228023897e-06,4.9838114006406494e-06,1.3182855266026017e-05,30,0.0015166666666666666,0.00235797741110138,0.00043050580604928615,0.0006728752868100658,0.002360458046523267,30,0.0002879166666666666,0.00010141261597139144,1.8515325794379926e-05,0.00025162662810968196,0.0003242067052236513,30,90.33333333333333,29.145690322375554,5.321250681208369,79.90368199816493,100.76298466850173,30,90.33333333333333,29.145690322375554,5.321250681208369,79.90368199816493,100.76298466850173,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,30,10.866666666666667,0.3457459036417604,0.06312427686319991,10.742943084014795,10.990390249318539,30,175.0439393939394,7.436229920900554,1.357663623490697,172.38291869189766,177.70496009598116
0.05,0.05,0.9,noop,,30,30,0.24978550833333374,0.00036820490238983816,6.722471027430074e-05,0.2496537479011961,0.24991726876547138,30,0.24845634583332454,0.0003762183665825075,6.868776197499572e-05,0.24832171781985354,0.24859097384679554,30,4.995710166666652,0.007364098047799602,0.001344494205486533,4.9930749580238984,4.998345375309405,30,4.994097403685085,0.007562178222855251,0.0013806585321773834,4.991391312962017,4.996803494408153,30,5.31665,0.1244019590432285,0.022712586388603347,5.272133330678337,5.361166669321663,30,0.11389166666666668,0.020733659840538092,0.003785431064767226,0.10647222177972292,0.12131111155361045,30,1.5833333333333333e-05,9.292500993416339e-06,1.6965708032444313e-06,1.2508054558974247e-05,1.915861210769242e-05,30,0.00315,0.0018622844702880013,0.0003400050709560992,0.0024835900609260454,0.0038164099390739547,30,0.00012941666666666668,5.445135179812966e-05,9.941411222161702e-06,0.00010993150067122975,0.0001489018326621036,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7.187616666666667,0.6141515409325983,0.1121282175651138,6.9678453602390436,7.40738797309429,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,14375.233333333334,1228.3030818651966,224.25643513022763,13935.690720478087,14814.77594618858,30,10.0,0.0,0.0,10.0,10.0,30,188.00666666666666,4.721844564569447,0.8620869270159484,186.3169762897154,189.69635704361792
0.05,0.05,0.9,left_if_safe,,30,30,0.24128703750000022,0.0013623791286746741,0.00024873526021645075,0.240799516389976,0.24177455861002445,30,0.239838391666666,0.0013945000053059103,0.000254599703115707,0.23933937624855922,0.2403374070847728,30,4.825740750000005,0.027247582573482657,0.004974705204327039,4.815990327799524,4.835491172200486,30,4.820872194304861,0.028030150860424884,0.00511758197217585,4.810841733639396,4.830902654970325,30,5.794583333333334,0.17351026419670162,0.03167849521973816,5.732493482702647,5.856673183964021,30,0.03423611111111112,0.028918377366116948,0.005279749203289694,0.02388780267266332,0.04458441954955892,30,7.241666666666669e-05,2.0911176410010396e-05,3.817841007910864e-06,6.49336982911614e-05,7.989963504217198e-05,30,0.0007166666666666666,0.0013175429936931413,0.00024054933937620677,0.0002451899614893013,0.0011881433718440317,30,0.0012559166666666667,0.0002071215736333804,3.7815052674989895e-05,0.0011817991634236866,0.0013300341699096468,30,332.76666666666665,47.135668706063946,8.605756337800523,315.8993842445776,349.6339490887557,30,332.76666666666665,47.135668706063946,8.605756337800523,315.8993842445776,349.6339490887557,30,0.0,0.0,0.0,0.0,0.0,30,6.226733333333333,0.5507338479377928,0.1005497838990497,6.029655756891195,6.4238109097754705,30,332.76666666666665,47.135668706063946,8.605756337800523,315.8993842445776,349.6339490887557,30,0.0,0.0,0.0,0.0,0.0,30,12120.7,1057.298742567342,193.03545710866027,11742.350504067026,12499.049495932975,30,10.9,0.30512857662936466,0.055708601453115555,10.790811141151893,11.009188858848107,30,172.8709090909091,5.407831522734821,0.9873304373964575,170.93574143361204,174.80607674820615
0.05,0.05,0.9,graph_ppo,edge-graph,30,30,0.24277509583333362,0.001976833532817043,0.00036091877278550784,0.24206769503867404,0.2434824966279932,30,0.24132432083333322,0.002007587881789356,0.000366533723010015,0.24060591473623358,0.24204272693043286,30,4.855501916666669,0.03953667065632971,0.0072183754557081205,4.841353900773481,4.869649932559857,30,4.85074011725293,0.040353525262092106,0.007367512020300806,4.836299793693141,4.865180440812719,30,5.8031,0.16636501207098597,0.030373956630299424,5.743567045004613,5.862632954995386,30,0.03281666666666667,0.02772750201183099,0.005062326105049903,0.02289450750076886,0.04273882583256448,30,5.4083333333333345e-05,1.9123952904999637e-05,3.4915401315782507e-06,4.7239914675439976e-05,6.0926751991226713e-05,30,0.0005166666666666667,0.0011483371285992369,0.00020965671631817094,0.00010573950268305164,0.0009275938306502817,30,0.00150275,0.0003373555565745496,6.159241607853036e-05,0.0013820288644860804,0.0016234711355139196,30,462.56666666666666,119.87800791475138,21.886629694564057,419.6688724653211,505.4644608680122,30,462.3,119.66595747876814,21.847914758858447,419.47808707263744,505.1219129273626,30,0.26666666666666666,1.1426929274467317,0.20862623088806304,-0.14224074587393687,0.6755740792072702,30,6.577366666666666,0.5803845326566917,0.10596323352105458,6.3696787289653996,6.785054604367933,30,338.3,70.08524366305895,12.79575630083446,313.22031765036445,363.3796823496356,30,124.26666666666667,108.86211884553887,19.8754127165033,85.3108577423202,163.22247559101314,30,12692.166666666666,1064.5337358264621,194.35638011246624,12311.228161646231,13073.1051716871,30,10.933333333333334,0.2537081317024624,0.04632055558531008,10.842545044386126,11.024121622280541,30,172.48545454545456,5.404395158881595,0.986703046063722,170.55151657516967,174.41939251573945
0.05,0.05,0.9,node_mlp_ppo,node-mlp-matched,30,30,0.24227230833333369,0.0015057949236476928,0.0002749192822195369,0.2417334665401834,0.24281115012648397,30,0.24081852916666652,0.001540077250736814,0.00028117835017636423,0.24026741960032083,0.2413696387330122,30,4.845446166666673,0.030115898472956537,0.005498385644391227,4.834669330803666,4.85622300252968,30,4.8405734505862625,0.030956326647969816,0.005651826134197118,4.829495871363236,4.851651029809289,30,5.8151166666666665,0.17047639554138166,0.03112458912006262,5.754112471991344,5.876120861341989,30,0.030813888888888908,0.028412732590230274,0.005187431520010436,0.020646523109668455,0.04098125466810936,30,7.16666666666667e-05,1.5119257720635257e-05,2.760386168775357e-06,6.6256309775867e-05,7.70770235574664e-05,30,0.0005333333333333334,0.001173950986856023,0.00021433314563549816,0.00011324036788775695,0.0009534262987789098,30,0.002120916666666667,0.0006210559984099014,0.0001133887932676652,0.001898674631862043,0.0023431587014712905,30,715.1333333333333,280.7003228789875,51.24863291326831,614.6860128233275,815.5806538433392,30,714.4,280.83970148651434,51.27407984906034,613.9028034958417,814.8971965041583,30,0.7333333333333333,2.9934795038934014,0.5465320832372632,-0.3378695498117027,1.8045362164783691,30,6.2593499999999995,0.3440294982841663,0.06281090555247423,6.13624062511715,6.382459374882849,30,229.76666666666668,169.79677169534443,31.000507349698285,169.00567226125804,290.5276610720753,30,485.3666666666667,112.0026118332571,20.448785666856654,445.28704675962763,525.4462865737057,30,11803.566666666668,871.2324082559155,159.06454761043835,11491.800153350208,12115.333179983127,30,10.933333333333334,0.2537081317024624,0.04632055558531008,10.842545044386126,11.024121622280541,30,172.2557575757576,5.459551899565439,0.99677324308739,170.3020820193063,174.2094331322089
0.05,0.05,0.9,grid_cnn_ppo,grid-cnn-matched,30,30,0.24630230000000072,0.000961283869857497,0.00017550561989560382,0.24595830898500534,0.2466462910149961,30,0.24484424583333406,0.0009620701903538854,0.00017564918172003737,0.2444999734371628,0.24518851822950533,30,4.926045999999999,0.019225677397147065,0.003510112397911552,4.919166179700092,4.932925820299905,30,4.921492378559462,0.019338094278471697,0.0035306368184935127,4.914572330395215,4.928412426723709,30,5.832216666666667,0.05871360697213355,0.010719588990376713,5.811206272245529,5.8532270610878046,30,0.027963888888888882,0.009785601162022255,0.001786598165062785,0.024462156485365823,0.03146562129241194,30,5.641666666666668e-05,1.1884562090878831e-05,2.169814247748366e-06,5.216383074107988e-05,6.066950259225348e-05,30,0.00036666666666666667,0.0006149478998583782,0.00011227361214762056,0.00014661038685733038,0.000586722946476003,30,0.00563625,0.0008503882860605297,0.00015525894897116938,0.005331942460016508,0.005940557539983492,30,2218.0333333333333,352.74103848274456,64.40140791159902,2091.806573826599,2344.2600928400675,30,2194.9,337.55166654337063,61.62822069642199,2074.108687435013,2315.691312564987,30,23.133333333333333,31.226351971872482,5.701125787863495,11.959126789120884,34.30753987754578,30,6.940716666666666,0.23358398339537448,0.04264640559251959,6.857129711705328,7.024303621628004,30,1151.5666666666666,191.83032792716506,35.02326593977384,1082.92106542471,1220.2122679086233,30,1066.4666666666667,164.1113443163919,29.962495074861693,1007.7401763199377,1125.1931570133956,30,11663.4,429.3952925235433,78.39649593389134,11509.742867969573,11817.057132030426,30,11.0,0.0,0.0,11.0,11.0,30,171.46363636363637,1.7073341868680318,0.3117151491157872,170.8526746713694,172.07459805590332
0.05,0.05,0.95,baseline1_hdv,,30,30,0.24980558333333408,0.000302493335515868,5.522747445233984e-05,0.2496973374834075,0.24991382918326066,30,0.248476583333324,0.0003087180709649618,5.636395045899675e-05,0.24836610999042438,0.24858705667622363,30,4.996111666666648,0.006049866710330356,0.0011045494890491695,4.993946749668112,4.998276583665184,30,4.994504187604684,0.006205388361172485,0.001132943727831395,4.992283617898134,4.996724757311234,30,5.316,0.13142672010904283,0.023995126420880194,5.268969552215075,5.363030447784925,30,0.11400000000000002,0.02190445335150714,0.003999187736813366,0.10616159203584583,0.12183840796415421,30,1.6e-05,9.482288389595006e-06,1.7312210825835065e-06,1.2606806678136327e-05,1.9393193321863674e-05,30,0.00315,0.001934932949029857,0.0003532688078145488,0.002457593136683484,0.003842406863316516,30,0.00013366666666666665,5.6434022101696e-05,1.0303395638614666e-05,0.00011347201121498189,0.0001538613221183514,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,30,10.1,0.30512857662936466,0.055708601453115555,9.990811141151893,10.209188858848107,30,188.14242424242423,4.685281510103328,0.8554114571151539,186.46581778647854,189.81903069836991
0.05,0.05,0.95,baseline2_matched,,30,30,0.24667293750000077,0.0016642779984712846,0.0003038542005740903,0.24607738326687556,0.24726849173312598,30,0.24521498333333397,0.001693374883621251,0.0003091665406906815,0.24460901691358022,0.24582094975308771,30,4.933458749999994,0.033285559969423645,0.006077084011481432,4.92154766533749,4.945369834662497,30,4.928944388609701,0.034037686102942416,0.00621440282795389,4.916764159066911,4.941124618152491,30,5.831816666666667,0.2049999782730574,0.0374277041294075,5.758458366573028,5.905174966760305,30,0.028030555555555572,0.034166663045509575,0.006237950688234584,0.01580417220661579,0.04025693890449536,30,7.250000000000001e-06,1.0674453874425682e-05,1.948879725357121e-06,3.430195738300044e-06,1.1069804261699958e-05,30,0.0011333333333333334,0.0021969152877635485,0.00040110002001201623,0.0003471772941097816,0.0019194893725568852,30,0.0002953333333333333,9.615391158264795e-05,1.755522212205785e-05,0.00026092509797409993,0.0003297415686925667,30,93.43333333333334,29.149653494519875,5.3219742541359425,83.0022637952269,103.86440287143978,30,93.43333333333334,29.149653494519875,5.3219742541359425,83.0022637952269,103.86440287143978,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,30,10.966666666666667,0.18257418583505536,0.03333333333333333,10.901333333333334,11.032,30,171.84363636363636,6.633254048816996,1.2110609573998476,169.46995688713267,174.21731584014006
0.05,0.05,0.95,noop,,30,30,0.24978872916666706,0.0003694144628309019,6.744554478704623e-05,0.24965653589888445,0.24992092243444966,30,0.2484577083333245,0.000376664504649765,6.876921526939526e-05,0.2483229206713965,0.24859249599525252,30,4.995774583333315,0.007388289256619977,0.0013489108957412787,4.993130717977662,4.998418448688968,30,4.994124790619759,0.007571145822197404,0.001382295784326172,4.9914154908824795,4.996834090357039,30,5.324083333333333,0.1253707662215897,0.022889465570423803,5.279219980815302,5.368946685851364,30,0.11265277777777778,0.020895127703598294,0.0038149109284039686,0.10517555235810601,0.12013000319744956,30,1.55e-05,9.317206922011885e-06,1.7010814680430621e-06,1.2165880322635599e-05,1.8834119677364403e-05,30,0.0030833333333333333,0.0018665999577571115,0.0003407929675672534,0.0024153791169015167,0.00375128754976515,30,0.0001345,5.809623407582546e-05,1.0606872636476633e-05,0.00011371052963250579,0.0001552894703674942,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,7.6464,0.6820148319754363,0.12451830267534737,7.402344126756319,7.890455873243681,30,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,30,15292.8,1364.0296639508729,249.0366053506948,14804.688253512637,15780.911746487362,30,10.0,0.0,0.0,10.0,10.0,30,187.79333333333335,4.714170372276609,0.8606858176061417,186.1063891308253,189.4802775358414
