requested_density,effective_density,density_index,run_index,av_fraction,treatment_mode,comparison_mode,pv_speed_treatment,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta,completed_priority_laps_delta,priority_lap_time_delta
0.05,0.05,0,0,0.9,baseline2_matched,baseline1_hdv,6.0,5.4375,0.5625,1.103448275862069,-0.09375,-5.551115123125783e-17,0.9999999999999998,0.002812499999997442,0.0,0.0,
0.05,0.05,0,0,0.9,noop,baseline1_hdv,5.5,5.4375,0.0625,1.0114942528735633,-0.01041666666666663,-0.0005312499999999554,0.9978493943514977,-0.01031250000000039,0.0,0.0,
0.05,0.05,0,0,0.9,noop,baseline2_matched,5.5,6.0,-0.5,0.9166666666666666,0.08333333333333337,-0.0005312499999998999,0.9978493943514979,-0.013124999999997833,0.0,0.0,
0.05,0.05,0,0,0.9,left_if_safe,baseline1_hdv,6.0,5.4375,0.5625,1.103448275862069,-0.09375,-0.0011171875000000053,0.9954774028274139,-0.01953125,0.0,0.0,
0.05,0.05,0,0,0.9,left_if_safe,baseline2_matched,6.0,6.0,0.0,1.0,0.0,-0.0011171874999999498,0.9954774028274141,-0.022343749999997442,0.0,0.0,
0.05,0.05,0,0,0.9,left_if_safe,noop,6.0,5.5,0.5,1.0909090909090908,-0.08333333333333337,-0.00058593750000005,0.9976228962631927,-0.00921874999999961,0.0,0.0,
0.05,0.05,0,0,0.9,graph_ppo,baseline1_hdv,6.0,5.4375,0.5625,1.103448275862069,-0.09375,-0.0011171875000000053,0.9954774028274139,-0.01953125,0.0,0.0,
0.05,0.05,0,0,0.9,graph_ppo,baseline2_matched,6.0,6.0,0.0,1.0,0.0,-0.0011171874999999498,0.9954774028274141,-0.022343749999997442,0.0,0.0,
0.05,0.05,0,0,0.9,graph_ppo,noop,6.0,5.5,0.5,1.0909090909090908,-0.08333333333333337,-0.00058593750000005,0.9976228962631927,-0.00921874999999961,0.0,0.0,
0.05,0.05,0,0,0.9,graph_ppo,left_if_safe,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
0.05,0.05,0,0,0.9,node_mlp_ppo,baseline1_hdv,5.0625,5.4375,-0.375,0.9310344827586207,0.0625,-0.002117187499999923,0.9914292039596448,-0.04421874999999975,0.0,0.0,
0.05,0.05,0,0,0.9,node_mlp_ppo,baseline2_matched,5.0625,6.0,-0.9375,0.84375,0.15625,-0.0021171874999998674,0.9914292039596451,-0.04703124999999719,0.0,0.0,
0.05,0.05,0,0,0.9,node_mlp_ppo,noop,5.0625,5.5,-0.4375,0.9204545454545454,0.07291666666666663,-0.0015859374999999676,0.9935659725523757,-0.03390624999999936,0.0,0.0,
0.05,0.05,0,0,0.9,node_mlp_ppo,left_if_safe,5.0625,6.0,-0.9375,0.84375,0.15625,-0.0009999999999999176,0.995933409581904,-0.02468749999999975,0.0,0.0,
0.05,0.05,0,0,0.9,grid_cnn_ppo,baseline1_hdv,5.75,5.4375,0.3125,1.0574712643678161,-0.05208333333333337,-0.0019374999999999531,0.992156614693697,-0.03718749999999993,0.0,0.0,
0.05,0.05,0,0,0.9,grid_cnn_ppo,baseline2_matched,5.75,6.0,-0.25,0.9583333333333334,0.04166666666666663,-0.0019374999999998976,0.9921566146936972,-0.03999999999999737,0.0,0.0,
0.05,0.05,0,0,0.9,grid_cnn_ppo,noop,5.75,5.5,0.25,1.0454545454545454,-0.04166666666666674,-0.0014062499999999978,0.994294951031663,-0.026874999999999538,0.0,0.0,
0.05,0.05,0,0,0.9,grid_cnn_ppo,left_if_safe,5.75,6.0,-0.25,0.9583333333333334,0.04166666666666663,-0.0008203124999999478,0.9966641250476556,-0.01765624999999993,0.0,0.0,
0.05,0.05,0,0,0.9,graph_ppo,node_mlp_ppo,6.0,5.0625,0.9375,1.1851851851851851,-0.15625,0.0009999999999999176,1.0040831951001656,0.02468749999999975,0.0,0.0,
0.05,0.05,0,0,0.9,graph_ppo,grid_cnn_ppo,6.0,5.75,0.25,1.0434782608695652,-0.04166666666666663,0.0008203124999999478,1.0033470402601126,0.01765624999999993,0.0,0.0,
0.05,0.05,0,0,0.9,node_mlp_ppo,grid_cnn_ppo,5.0625,5.75,-0.6875,0.8804347826086957,0.11458333333333337,-0.0001796874999999698,0.9992668388001659,-0.007031249999999822,0.0,0.0,
