requested_density,av_fraction,treatment_mode,comparison_mode,runs,pv_speed_win_rate,pv_speed_tie_rate,pv_speed_delta_valid_runs,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,pv_speed_ratio_valid_runs,pv_speed_ratio_mean,pv_speed_ratio_std,pv_speed_ratio_ci_low,pv_speed_ratio_ci_high,priority_time_loss_delta_valid_runs,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_valid_runs,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_valid_runs,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_valid_runs,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_valid_runs,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,completed_priority_laps_delta_valid_runs,completed_priority_laps_delta_mean,completed_priority_laps_delta_std,completed_priority_laps_delta_ci_low,completed_priority_laps_delta_ci_high,priority_lap_time_delta_valid_runs,priority_lap_time_delta_mean,priority_lap_time_delta_std,priority_lap_time_delta_ci_low,priority_lap_time_delta_ci_high,pv_speed_advantage
0.05,0.9,baseline2_matched,baseline1_hdv,1,1.0,0.0,1,0.5625,0.0,0.5625,0.5625,1,1.103448275862069,0.0,1.103448275862069,1.103448275862069,1,-0.09375,0.0,-0.09375,-0.09375,1,-5.551115123125783e-17,0.0,-5.551115123125783e-17,-5.551115123125783e-17,1,0.9999999999999998,0.0,0.9999999999999998,0.9999999999999998,1,0.002812499999997442,0.0,0.002812499999997442,0.002812499999997442,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,graph_ppo,baseline1_hdv,1,1.0,0.0,1,0.5625,0.0,0.5625,0.5625,1,1.103448275862069,0.0,1.103448275862069,1.103448275862069,1,-0.09375,0.0,-0.09375,-0.09375,1,-0.0011171875000000053,0.0,-0.0011171875000000053,-0.0011171875000000053,1,0.9954774028274139,0.0,0.9954774028274139,0.9954774028274139,1,-0.01953125,0.0,-0.01953125,-0.01953125,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,graph_ppo,baseline2_matched,1,0.0,1.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1,-0.0011171874999999498,0.0,-0.0011171874999999498,-0.0011171874999999498,1,0.9954774028274141,0.0,0.9954774028274141,0.9954774028274141,1,-0.022343749999997442,0.0,-0.022343749999997442,-0.022343749999997442,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,graph_ppo,grid_cnn_ppo,1,1.0,0.0,1,0.25,0.0,0.25,0.25,1,1.0434782608695652,0.0,1.0434782608695652,1.0434782608695652,1,-0.04166666666666663,0.0,-0.04166666666666663,-0.04166666666666663,1,0.0008203124999999478,0.0,0.0008203124999999478,0.0008203124999999478,1,1.0033470402601126,0.0,1.0033470402601126,1.0033470402601126,1,0.01765624999999993,0.0,0.01765624999999993,0.01765624999999993,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,graph_ppo,left_if_safe,1,0.0,1.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,graph_ppo,node_mlp_ppo,1,1.0,0.0,1,0.9375,0.0,0.9375,0.9375,1,1.1851851851851851,0.0,1.1851851851851851,1.1851851851851851,1,-0.15625,0.0,-0.15625,-0.15625,1,0.0009999999999999176,0.0,0.0009999999999999176,0.0009999999999999176,1,1.0040831951001656,0.0,1.0040831951001656,1.0040831951001656,1,0.02468749999999975,0.0,0.02468749999999975,0.02468749999999975,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,graph_ppo,noop,1,1.0,0.0,1,0.5,0.0,0.5,0.5,1,1.0909090909090908,0.0,1.0909090909090908,1.0909090909090908,1,-0.08333333333333337,0.0,-0.08333333333333337,-0.08333333333333337,1,-0.00058593750000005,0.0,-0.00058593750000005,-0.00058593750000005,1,0.9976228962631927,0.0,0.9976228962631927,0.9976228962631927,1,-0.00921874999999961,0.0,-0.00921874999999961,-0.00921874999999961,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,grid_cnn_ppo,baseline1_hdv,1,1.0,0.0,1,0.3125,0.0,0.3125,0.3125,1,1.0574712643678161,0.0,1.0574712643678161,1.0574712643678161,1,-0.05208333333333337,0.0,-0.05208333333333337,-0.05208333333333337,1,-0.0019374999999999531,0.0,-0.0019374999999999531,-0.0019374999999999531,1,0.992156614693697,0.0,0.992156614693697,0.992156614693697,1,-0.03718749999999993,0.0,-0.03718749999999993,-0.03718749999999993,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,grid_cnn_ppo,baseline2_matched,1,0.0,0.0,1,-0.25,0.0,-0.25,-0.25,1,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,1,0.04166666666666663,0.0,0.04166666666666663,0.04166666666666663,1,-0.0019374999999998976,0.0,-0.0019374999999998976,-0.0019374999999998976,1,0.9921566146936972,0.0,0.9921566146936972,0.9921566146936972,1,-0.03999999999999737,0.0,-0.03999999999999737,-0.03999999999999737,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,grid_cnn_ppo,left_if_safe,1,0.0,0.0,1,-0.25,0.0,-0.25,-0.25,1,0.9583333333333334,0.0,0.9583333333333334,0.9583333333333334,1,0.04166666666666663,0.0,0.04166666666666663,0.04166666666666663,1,-0.0008203124999999478,0.0,-0.0008203124999999478,-0.0008203124999999478,1,0.9966641250476556,0.0,0.9966641250476556,0.9966641250476556,1,-0.01765624999999993,0.0,-0.01765624999999993,-0.01765624999999993,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
