requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,baseline1_hdv,5.867,2.4445,3.4225,2.400081816322356,-0.5704166666666666,-0.025345249999997876,0.9655242654000099,-0.08163208333333527,-0.03
0.3,0.3,0,0,baseline2_matched,5.867,3.656,2.211,1.6047592997811815,-0.36849999999999994,-0.018630249999997295,0.9744247007675269,-0.06025833333333308,-0.0025
0.3,0.3,0,0,graph_noop,5.867,2.526,3.341,2.3226444972288203,-0.5568333333333333,-0.026768624999997437,0.9636584896896745,-0.08644458333333294,-0.0435
0.3,0.3,0,0,left_if_safe,5.867,5.843,0.02400000000000002,1.0041074790347424,-0.0040000000000000036,0.004001375000000418,1.0056691525032313,0.013357916666666636,-0.0005
0.3,0.3,0,1,baseline1_hdv,5.8945,2.5125,3.3819999999999997,2.3460696517412933,-0.5636666666666666,-0.02898000000000034,0.9605572680940381,-0.09378166666666843,-0.0265
0.3,0.3,0,1,baseline2_matched,5.8945,3.7075,2.187,1.5898853674983142,-0.36449999999999994,-0.02462737499999812,0.9662815835790401,-0.080268750000001,-0.002
0.3,0.3,0,1,graph_noop,5.8945,2.572,3.3225,2.2917962674961116,-0.5537499999999999,-0.030667499999998293,0.9583561703360639,-0.0994562499999927,-0.049
0.3,0.3,0,1,left_if_safe,5.8945,4.237,1.6574999999999998,1.391196601368893,-0.2762499999999999,0.0735538750000001,1.1163454812126974,0.24656083333333223,-0.215
0.3,0.3,0,2,baseline1_hdv,5.4295,2.406,3.0235,2.2566500415627595,-0.5039166666666667,-0.012077750000000331,0.9831030792260659,-0.03773958333332894,-0.16549999999999998
0.3,0.3,0,2,baseline2_matched,5.4295,3.4045,2.025,1.59480099867822,-0.3375,-0.012097000000001912,0.9830766040030933,-0.038635833333334535,-0.12450000000000001
