requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.05,0.05,0,0,baseline1_hdv,5.998,5.354,0.6440000000000001,1.1202838998879343,-0.10733333333333339,-0.010030249999989832,0.9596433372680157,-0.1973849999999695,-0.004
0.05,0.05,0,0,baseline2_matched,5.998,5.8915,0.10650000000000048,1.018076890435373,-0.017750000000000044,-0.005862625000000177,0.9760094732426923,-0.11672000000000526,-0.001
0.05,0.05,0,1,baseline1_hdv,5.952,5.396,0.556,1.1030392883617495,-0.09266666666666667,-0.009957249999989592,0.9599490979773836,-0.19636499999997348,-0.002
0.05,0.05,0,1,baseline2_matched,5.952,5.9855,-0.033500000000000085,0.9944031409238994,0.0055833333333333846,-0.00267937500000065,0.988897786083358,-0.053754999999994446,0.0
0.05,0.05,0,2,baseline1_hdv,5.9275,5.1065,0.8210000000000006,1.1607754822285323,-0.13683333333333336,-0.009744374999989314,0.9608038048290849,-0.19078250000000896,-0.0065
0.05,0.05,0,2,baseline2_matched,5.9275,5.942,-0.014499999999999957,0.9975597441938742,0.0024166666666667336,-0.007129750000001628,0.9710161571280127,-0.14266750000000084,0.0
0.05,0.05,0,3,baseline1_hdv,5.899,5.279,0.6200000000000001,1.1174464860769084,-0.10333333333333328,-0.009446624999990272,0.961993327345349,-0.18583249999998763,-0.0045
0.05,0.05,0,3,baseline2_matched,5.899,5.7275,0.17149999999999999,1.0299432562199913,-0.028583333333333294,-0.007259250000002826,0.9705344979362266,-0.14432750000000194,-0.0015
0.05,0.05,0,4,baseline1_hdv,5.9995,5.273,0.7265000000000006,1.1377773563436375,-0.12108333333333343,-0.009898124999990515,0.9601872358825565,-0.19433000000001233,-0.0025
0.05,0.05,0,4,baseline2_matched,5.9995,5.4495,0.5500000000000007,1.1009266905220665,-0.09166666666666679,-0.00813150000000401,0.967058976039101,-0.15987999999995495,-0.004
0.05,0.05,0,5,baseline1_hdv,5.967,5.381,0.5859999999999994,1.1089016911354765,-0.09766666666666657,-0.010144874999989173,0.9591918724655297,-0.19996750000003605,-0.0015
0.05,0.05,0,5,baseline2_matched,5.967,5.953,0.013999999999999346,1.0023517554174364,-0.0023333333333331874,-0.005955875000000332,0.97563166048086,-0.11904750000002373,0.0
0.05,0.05,0,6,baseline1_hdv,5.969,5.2175,0.7515000000000001,1.144034499281265,-0.12524999999999997,-0.009540124999989907,0.9616268938051663,-0.18704499999998347,-0.0055
0.05,0.05,0,6,baseline2_matched,5.969,5.176,0.7930000000000001,1.153207109737249,-0.13216666666666665,-0.009443124999991365,0.9620022302219037,-0.18489749999998928,-0.0055
0.05,0.05,0,7,baseline1_hdv,5.8985,5.534,0.3645000000000005,1.065865558366462,-0.06075000000000008,-0.010298249999990794,0.9585754991771869,-0.20414249999997658,-0.001
0.05,0.05,0,7,baseline2_matched,5.8985,5.9585,-0.05999999999999961,0.9899303515985568,0.009999999999999898,-0.0056172500000020165,0.9769711101146545,-0.11264499999999167,0.0
0.05,0.05,0,8,baseline1_hdv,5.921,5.352,0.569,1.1063153961136023,-0.09483333333333333,-0.009619499999990982,0.9612957737978832,-0.1895449999999972,-0.002
0.05,0.05,0,8,baseline2_matched,5.921,5.9355,-0.014499999999999957,0.997557071855783,0.0024166666666667336,-0.00789350000000344,0.9680182648586698,-0.15794249999996968,0.0
0.05,0.05,0,9,baseline1_hdv,5.8815,5.3755,0.5060000000000002,1.0941307785322296,-0.08433333333333337,-0.009902874999991013,0.9601546075463314,-0.19552749999999008,-0.0025
0.05,0.05,0,9,baseline2_matched,5.8815,5.719,0.16249999999999964,1.0284140584018184,-0.027083333333333237,-0.00804162500000305,0.9673994233215141,-0.1600199999999603,-0.0025
0.05,0.05,0,10,baseline1_hdv,5.944,5.2745,0.6695000000000002,1.1269314626978861,-0.11158333333333337,-0.00979099999999039,0.9606054631705107,-0.19247249999995653,-0.004
0.05,0.05,0,10,baseline2_matched,5.944,5.9295,0.014499999999999957,1.0024454001180538,-0.0024166666666667336,-0.0029754999999996867,0.9876903792174064,-0.05943750000004133,0.0
0.05,0.05,0,11,baseline1_hdv,5.9225,5.3975,0.5250000000000004,1.097267253358036,-0.08750000000000013,-0.010131624999990152,0.9592490027562216,-0.2000074999999768,-0.0025
0.05,0.05,0,11,baseline2_matched,5.9225,5.893,0.029500000000000526,1.0050059392499577,-0.004916666666666791,-0.008313000000002235,0.9663174187222268,-0.1661124999999979,0.0
0.05,0.05,0,12,baseline1_hdv,5.899,5.2995,0.5994999999999999,1.1131238796112841,-0.09991666666666665,-0.009795999999990701,0.960590459198026,-0.19292250000000166,-0.0015
0.05,0.05,0,12,baseline2_matched,5.899,5.918,-0.019000000000000128,0.9967894558972625,0.003166666666666762,-0.007034500000001831,0.97138210654464,-0.14078499999999394,0.0
0.05,0.05,0,13,baseline1_hdv,5.8635,5.39,0.4735000000000005,1.087847866419295,-0.07891666666666675,-0.009845249999990563,0.9603985983994281,-0.19453749999999026,-0.003
0.05,0.05,0,13,baseline2_matched,5.8635,5.9365,-0.07299999999999951,0.9877031921165671,0.012166666666666548,-0.006993625000002335,0.9715425196433782,-0.14023749999997825,0.0
0.05,0.05,0,14,baseline1_hdv,5.913,5.107,0.806,1.157822596436264,-0.1343333333333333,-0.00870912499999002,0.9649682857725057,-0.17015249999996485,-0.004999999999999999
0.05,0.05,0,14,baseline2_matched,5.913,5.9555,-0.04249999999999954,0.9928637394005542,0.007083333333333219,-0.003974500000001269,0.9837025327809898,-0.07970250000000867,0.0005
0.05,0.05,0,15,baseline1_hdv,5.946,5.522,0.4239999999999995,1.0767837739949293,-0.07066666666666666,-0.009654499999990851,0.961162978617951,-0.1909700000000143,-0.001
0.05,0.05,0,15,baseline2_matched,5.946,5.92,0.0259999999999998,1.004391891891892,-0.0043333333333333,-0.007659250000002643,0.9689399465418631,-0.15305499999998506,0.0
0.05,0.05,0,16,baseline1_hdv,5.925,5.254,0.6710000000000003,1.127712219261515,-0.11183333333333334,-0.009198249999990776,0.9629921509322729,-0.18061000000000327,-0.005
0.05,0.05,0,16,baseline2_matched,5.925,5.9285,-0.0034999999999998366,0.9994096314413426,0.0005833333333333801,-0.0062185000000017365,0.9746771654184526,-0.12438749999998144,0.0
0.05,0.05,0,17,baseline1_hdv,5.936,5.516,0.41999999999999993,1.0761421319796953,-0.06999999999999995,-0.00952837499999068,0.9616674100823616,-0.18846749999999002,-0.0005
0.05,0.05,0,17,baseline2_matched,5.936,5.969,-0.03300000000000036,0.9944714357513821,0.00550000000000006,-0.00512337499999968,0.9790168476482981,-0.10263249999999768,0.0
0.05,0.05,0,18,baseline1_hdv,5.94,5.358,0.5820000000000007,1.1086226203807392,-0.0970000000000002,-0.009604749999990586,0.9613534296706518,-0.18918499999998062,-0.003
0.05,0.05,0,18,baseline2_matched,5.94,5.797,0.14300000000000068,1.0246679316888048,-0.023833333333333484,-0.0048914999999996045,0.9799376267933082,-0.09711499999998008,-0.002
