requested_density,comparison_mode,runs,pv_speed_win_rate,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,graph_ppo_speed_advantage
0.05,baseline1_hdv,20,1.0,0.5862250000000001,0.13131936512904235,0.5309993750000003,0.6410500000000002,-0.09770416666666668,0.02188656085484038,-0.10703770833333338,-0.08840802083333335,-0.009543093749990246,0.0009018474504083715,-0.009842859843740384,-0.0090933624999901,0.9616093792000117,0.0036274556369397105,0.9604112548740003,0.9634752699476521,-0.18793074999999088,0.017973160968435827,-0.19395319062499292,-0.1792273187499916,-0.003,0.0016622749155109217,-0.0037250000000000004,-0.002300000000000001,True
0.05,baseline2_matched,20,0.5,0.06387500000000013,0.24561538584371692,-0.0332524999999998,0.17950312500000012,-0.010645833333333344,0.04093589764061947,-0.029492291666666705,0.00550437499999999,-0.006221262500000916,0.001924504139784332,-0.007020624218748953,-0.005388545000001251,0.9746806865642696,0.0076987138245324304,0.971454178238979,0.9780935300325675,-0.1241058749999914,0.037765490445661194,-0.1400666249999852,-0.10765424062499974,-0.000675,0.0017341386455832367,-0.001475,0.0,False
0.1,baseline1_hdv,20,1.0,0.7907499999999998,0.08126540339820928,0.7555250000000001,0.825325625,-0.13179166666666667,0.013544233899701556,-0.1374708333333333,-0.1258875,-0.0023205062499992574,0.0005191247005572523,-0.002546396874999675,-0.0020968073437488428,0.9950338071296587,0.001110343192295958,0.9945650408717154,0.9955082195491605,-0.02122818749999742,0.005083314204514378,-0.023388767187495697,-0.0190226828124986,-0.0010750000000000002,0.0006129093691051247,-0.00135,-0.000825,True
0.1,baseline2_matched,20,0.65,0.017749999999999978,0.07690570097271895,-0.015951250000000163,0.04995124999999983,-0.0029583333333333406,0.012817616828786484,-0.008358333333333318,0.002646041666666677,-0.0041154375000000435,0.0005382712833753875,-0.004341274531250263,-0.0038836571875001287,0.9912261732779226,0.0011450125337231119,0.9907365497322345,0.991716465580195,-0.04111000000000251,0.005301034066203664,-0.04334625156250208,-0.038898250000001335,-0.0001,0.0004167543767332453,-0.000275,7.500000000000001e-05,False
0.15,baseline1_hdv,20,1.0,0.8861249999999998,0.09672721749984925,0.8445749999999999,0.9275531249999999,-0.14768749999999997,0.016121202916641545,-0.15452510416666662,-0.14063739583333332,-0.011245862499999908,0.0010204942429211737,-0.01168077015624983,-0.010813958906249681,0.983535296930351,0.0014874359832796307,0.9829059251892047,0.9841631340845575,-0.07349554166666397,0.006776824581543624,-0.07643896041666387,-0.07067019166666334,-0.001225,0.001197310582755764,-0.0017500000000000003,-0.000724375000000009,True
0.15,baseline2_matched,20,0.8,0.07197499999999998,0.08016766558446833,0.03779625000000009,0.10545062499999999,-0.011995833333333317,0.013361277597411392,-0.017699999999999994,-0.006370833333333326,-0.010194643749999854,0.000983591437327537,-0.010626274687500008,-0.009781296875000019,0.9850515904939494,0.0014340708109497945,0.9844280804316885,0.985666050962733,-0.06784433333333366,0.006530650701262656,-0.07070857812500031,-0.06506397083333341,2.5e-05,0.0008025452930323752,-0.00032499999999999993,0.000375,True
0.2,baseline1_hdv,20,1.0,1.0523500000000001,0.13456128519631558,0.992474375,1.1055781249999999,-0.17539166666666672,0.0224268808660526,-0.1843584375,-0.1653247916666667,-0.01923060624999994,0.0027859244710413344,-0.020467845781249386,-0.01808120718750015,0.9755104188103939,0.0035203693575066274,0.9739507642104971,0.9769548744269763,-0.09483759375000005,0.013834970003395215,-0.10109332109374808,-0.08917756250000138,-0.0023749999999999995,0.0026846297402258776,-0.0034750000000000002,-0.0012,True
0.2,baseline2_matched,20,0.85,0.12470000000000021,0.14124534459025917,0.06304937500000014,0.1818006250000002,-0.02078333333333336,0.023540890765043197,-0.030595937500000028,-0.010279062500000035,-0.015146437500000099,0.0030711342427522533,-0.016534191406250398,-0.01390000828125067,0.9806128831275274,0.003902926638170789,0.9788450434215081,0.9822075017295466,-0.07557631249999992,0.01525375854634933,-0.08239515703125021,-0.06938514375000158,0.00125,0.0020806122580675746,0.0004,0.0021750000000000007,True
0.25,baseline1_hdv,20,1.0,0.9783999999999999,0.12412224449689653,0.9251999999999999,1.031675,-0.16306666666666667,0.02068704074948275,-0.1718334375,-0.15417864583333335,-0.015321256250000064,0.002139091607525591,-0.01625481687500004,-0.014422952343749709,0.9801197027448387,0.002763138634707743,0.9789208195710658,0.9812527903901976,-0.060306624999998525,0.008561886634006645,-0.06410225499999901,-0.05673628624999855,-0.003150000000000001,0.013089871536501237,-0.008125,0.002849999999999999,True
0.25,baseline2_matched,20,0.85,0.125325,0.12588197009396074,0.0694725,0.177475625,-0.020887499999999996,0.02098032834899344,-0.029616666666666645,-0.011700000000000021,-0.010571324999999914,0.0018229295485059167,-0.01138795250000021,-0.009845337343750165,0.9861979911107964,0.0023726982330973356,0.9851316294430759,0.9871414020865747,-0.042159974999998684,0.007336177076067156,-0.04548166187499703,-0.039206968749997094,0.008575000000000001,0.011688135009487186,0.004099375000000005,0.01395,True
