requested_density,effective_density,density_index,run_index,mode,priority_vehicle_id,av_fraction,av_vehicle_count,scenario_seed,warmup_rng_seed,assignment_seed,av_selection_seed,measurement_rng_seed,backend_requested,warmup_backend,measurement_backend,num_lanes,road_length,warmup_steps,measure_steps,measurement_steps,vehicle_count,priority_vehicle_count,density,flow_all,flow_background,flow_priority,mean_speed_all,mean_speed_background,mean_speed_priority,worst_priority_mean_speed,mean_priority_time_loss,worst_priority_time_loss,stopped_fraction_all,stopped_fraction_background,stopped_fraction_priority,lane_change_rate_all,lane_change_rate_background,lane_change_rate_priority,completed_priority_laps,mean_priority_lap_time,rule_detections,rule_requests,rule_applied,rule_rejected,rule_blocked_no_safe_lane,rule_cooldown_suppressed,per_priority_vehicle,active_av_count_mean,active_av_count_max,policy_left_requests,policy_right_requests,policy_stay_actions
0.05,0.05,0,0,baseline1_hdv,188,0.95,189,100011,100097,101000,102000,100193,optimized,optimized,optimized,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24987862500000096,0.24854012499998995,0.0013385000000000196,4.99757249999997,4.995781407035171,5.354,5.354,0.10766666666666669,0.10766666666666669,2e-05,0.0,0.004,0.0001275,0.0,0.0255,10,187.4,0,0,0,0,0,0,"{""188"":{""completed_laps"":10,""distance"":10708.0,""mean_lap_time"":187.4,""mean_speed"":5.354,""time_loss"":0.10766666666666669}}",0.0,0,,,
0.05,0.05,0,0,baseline2_matched,188,0.95,189,100011,100097,101000,102000,100193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24584537500000186,0.2443725000000003,0.0014728750000000317,4.916907500000006,4.912010050251243,5.8915,5.8915,0.01808333333333334,0.01808333333333334,7.499999999999999e-06,2.512562814070352e-06,0.001,0.00035,0.00033919597989949746,0.0025,11,170.0,294,99,99,0,174,21,"{""188"":{""completed_laps"":11,""distance"":11783.0,""mean_lap_time"":170.0,""mean_speed"":5.8915,""time_loss"":0.01808333333333334}}",0.0,0,,,
0.05,0.05,0,0,graph_ppo,188,0.95,189,100011,100097,101000,102000,100193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24000937499999958,0.23850987500000012,0.001499500000000029,4.800187500000001,4.794168341708551,5.998,5.998,0.0003333333333332966,0.0003333333333332966,5.000000000000001e-05,5.0251256281407016e-05,0.0,0.00151,0.0015175879396984926,0.0,11,166.72727272727272,0,399,399,0,0,0,"{""188"":{""completed_laps"":11,""distance"":11996.0,""mean_lap_time"":166.72727272727272,""mean_speed"":5.998,""time_loss"":0.0003333333333332966}}",6.9905,11,399,0,13582
0.05,0.05,0,1,baseline1_hdv,172,0.95,189,110011,110097,111000,112000,110193,optimized,optimized,optimized,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24996387499999995,0.2486148749999894,0.001349000000000026,4.999277499999972,4.997283919597985,5.396,5.396,0.10066666666666668,0.10066666666666668,1e-05,0.0,0.002,0.000165,0.0,0.033,10,185.1,0,0,0,0,0,0,"{""172"":{""completed_laps"":10,""distance"":10792.0,""mean_lap_time"":185.1,""mean_speed"":5.396,""time_loss"":0.10066666666666668}}",0.0,0,,,
0.05,0.05,0,1,baseline2_matched,172,0.95,189,110011,110097,111000,112000,110193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24283337500000002,0.24133700000000047,0.001496375000000029,4.856667499999993,4.850994974874362,5.9855,5.9855,0.0024166666666666226,0.0024166666666666226,2.5e-06,2.512562814070352e-06,0.0,0.0001875,0.00018341708542713567,0.001,11,167.1818181818182,67,67,67,0,0,0,"{""172"":{""completed_laps"":11,""distance"":11971.0,""mean_lap_time"":167.1818181818182,""mean_speed"":5.9855,""time_loss"":0.0024166666666666226}}",0.0,0,,,
0.05,0.05,0,1,graph_ppo,172,0.95,189,110011,110097,111000,112000,110193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.2401456249999995,0.23865762499999982,0.0014880000000000281,4.802912499999999,4.797138190954796,5.952,5.952,0.008000000000000007,0.008000000000000007,6.250000000000001e-05,6.281407035175876e-05,0.0,0.0014175,0.001407035175879397,0.0035,11,168.1818181818182,0,369,369,0,0,0,"{""172"":{""completed_laps"":11,""distance"":11904.0,""mean_lap_time"":168.1818181818182,""mean_speed"":5.952,""time_loss"":0.008000000000000007}}",7.0805,11,369,0,13792
0.05,0.05,0,2,baseline1_hdv,174,0.95,189,120011,120097,121000,122000,120193,optimized,optimized,optimized,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24988175000000118,0.24860512499998924,0.0012766250000000219,4.9976350000000105,4.997087939698479,5.1065,5.1065,0.1489166666666667,0.1489166666666667,3.25e-05,0.0,0.0065,3.75e-05,2.512562814070352e-06,0.007,10,195.8,0,0,0,0,0,0,"{""174"":{""completed_laps"":10,""distance"":10213.0,""mean_lap_time"":195.8,""mean_speed"":5.1065,""time_loss"":0.1489166666666667}}",0.0,0,,,
0.05,0.05,0,2,baseline2_matched,174,0.95,189,120011,120097,121000,122000,120193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24747600000000067,0.24599050000000156,0.001485500000000028,4.949520000000002,4.944532663316559,5.942,5.942,0.009666666666666601,0.009666666666666601,0.0,0.0,0.0,0.0003225,0.00030402010050251257,0.004,11,168.45454545454547,138,114,114,0,0,24,"{""174"":{""completed_laps"":11,""distance"":11884.0,""mean_lap_time"":168.45454545454547,""mean_speed"":5.942,""time_loss"":0.009666666666666601}}",0.0,0,,,
0.05,0.05,0,2,graph_ppo,174,0.95,189,120011,120097,121000,122000,120193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24034262500000014,0.23886074999999993,0.001481875000000028,4.8068525000000015,4.801221105527652,5.9275,5.9275,0.012083333333333335,0.012083333333333335,6.250000000000001e-05,6.281407035175876e-05,0.0,0.001465,0.001449748743718593,0.0045,11,168.9090909090909,0,377,377,0,0,0,"{""174"":{""completed_laps"":11,""distance"":11855.0,""mean_lap_time"":168.9090909090909,""mean_speed"":5.9275,""time_loss"":0.012083333333333335}}",6.764,11,377,0,13151
0.05,0.05,0,3,baseline1_hdv,13,0.95,189,130011,130097,131000,132000,130193,optimized,optimized,optimized,4,1000,1000,2000,2000,200,1,0.04999999999999823,0.24987150000000113,0.24855174999999036,0.001319750000000025,4.997429999999982,4.996015075376888,5.279,5.279,0.12016666666666664,0.12016666666666664,2.2499999999999998e-05,0.0,0.0045,0.0001075,2.512562814070352e-06,0.021,10,189.4,0,0,0,0,0,0,"{""13"":{""completed_laps"":10,""distance"":10558.0,""mean_lap_time"":189.4,""mean_speed"":5.279,""time_loss"":0.12016666666666664}}",0.0,0,,,
