requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,baseline1_hdv,3.7075,2.4515,1.2560000000000002,1.5123393840505814,-0.20933333333333337,-0.010083374999999672,0.9862556345985826,-0.032564583333329455,-0.04
0.3,0.3,0,0,baseline2_matched,3.7075,3.224,0.4834999999999998,1.1499689826302728,-0.08058333333333334,-0.00696137499999927,0.9904705926640804,-0.02280166666665906,-0.0005000000000000004
0.3,0.3,0,1,baseline1_hdv,3.313,2.357,0.956,1.40560033941451,-0.15933333333333333,-0.0016064999999982899,0.9977395306870341,-0.004558333333332776,-0.08350000000000002
0.3,0.3,0,1,baseline2_matched,3.313,3.0615,0.25150000000000006,1.0821492732320759,-0.04191666666666671,-0.0007691249999998151,0.9989165052195467,-0.0023541666666635486,-0.05299999999999999
0.3,0.3,0,2,baseline1_hdv,3.5675,2.4675,1.1,1.4457953394123608,-0.18333333333333346,-0.012055625000002124,0.9835893270135184,-0.039268750000002406,-0.0215
0.3,0.3,0,2,baseline2_matched,3.5675,3.2535,0.31400000000000006,1.0965114492085446,-0.05233333333333334,-0.007223250000001569,0.9901022710514273,-0.023815833333336922,0.003
0.3,0.3,0,3,baseline1_hdv,3.4505,2.4355,1.0149999999999997,1.4167522069390268,-0.16916666666666658,-0.012526874999998605,0.9829606693516334,-0.040910416666660065,-0.011
0.3,0.3,0,3,baseline2_matched,3.4505,3.3105,0.13999999999999968,1.0422896843377132,-0.023333333333333206,-0.008308624999999292,0.9886332058005564,-0.027578750000002206,0.014499999999999999
0.3,0.3,0,4,baseline1_hdv,3.6105,2.463,1.1475,1.4658952496954933,-0.19124999999999992,-0.005699125000000915,0.992179083934057,-0.018040833333338835,-0.078
0.3,0.3,0,4,baseline2_matched,3.6105,3.2565,0.3540000000000001,1.1087056655918932,-0.05900000000000005,-0.006512124999999536,0.9910733623388664,-0.02141208333333422,0.008
0.3,0.3,0,5,baseline1_hdv,3.378,2.468,0.9100000000000001,1.3687196110210698,-0.15166666666666673,-0.014228624999998107,0.9806227203876401,-0.046670416666663606,0.0235
