requested_density,effective_density,density_index,run_index,mode,priority_vehicle_id,av_fraction,av_vehicle_count,scenario_seed,warmup_rng_seed,assignment_seed,av_selection_seed,measurement_rng_seed,backend_requested,warmup_backend,measurement_backend,num_lanes,road_length,warmup_steps,measure_steps,measurement_steps,vehicle_count,priority_vehicle_count,density,flow_all,flow_background,flow_priority,mean_speed_all,mean_speed_background,mean_speed_priority,worst_priority_mean_speed,mean_priority_time_loss,worst_priority_time_loss,stopped_fraction_all,stopped_fraction_background,stopped_fraction_priority,lane_change_rate_all,lane_change_rate_background,lane_change_rate_priority,completed_priority_laps,mean_priority_lap_time,rule_detections,rule_requests,rule_applied,rule_rejected,rule_blocked_no_safe_lane,rule_cooldown_suppressed,per_priority_vehicle,active_av_count_mean,active_av_count_max,policy_left_requests,policy_right_requests,policy_stay_actions
0.3,0.3,0,0,baseline1_hdv,1133,0.95,1139,100011,100097,101000,102000,100193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7342498749999999,0.7336370000000003,0.0006128749999999886,2.4474995833333337,2.4474962468723964,2.4515,2.4515,0.5914166666666667,0.5914166666666667,0.04938958333333338,0.049393661384486996,0.0445,0.04488416666666667,0.04488698915763136,0.0415,4,405.0,0,0,0,0,0,0,"{""1133"":{""completed_laps"":4,""distance"":4903.0,""mean_lap_time"":405.0,""mean_speed"":2.4515,""time_loss"":0.5914166666666667}}",0.0,0,,,
0.3,0.3,0,0,baseline2_matched,1133,0.95,1139,100011,100097,101000,102000,100193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7313209999999983,0.7305149999999999,0.0008059999999999861,2.4377366666666633,2.4370809007506304,3.224,3.224,0.46266666666666667,0.46266666666666667,0.037345000000000045,0.03737197664720582,0.005,0.047099583333333334,0.04712260216847373,0.0195,6,310.3333333333333,6798,2777,2777,0,1995,2026,"{""1133"":{""completed_laps"":6,""distance"":6448.0,""mean_lap_time"":310.3333333333333,""mean_speed"":3.224,""time_loss"":0.46266666666666667}}",0.0,0,,,
0.3,0.3,0,0,graph_ppo,1133,0.95,1139,100011,100097,101000,102000,100193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7244805000000025,0.7235536250000006,0.0009268749999999848,2.4149350000000043,2.413856964136781,3.7075,3.7075,0.38208333333333333,0.38208333333333333,0.04375583333333335,0.0437885738115093,0.0045,0.04661791666666667,0.04661050875729775,0.0555,7,271.57142857142856,0,4875,4875,0,0,0,"{""1133"":{""completed_laps"":7,""distance"":7415.0,""mean_lap_time"":271.57142857142856,""mean_speed"":3.7075,""time_loss"":0.38208333333333333}}",30.17,53,4875,0,55465
0.3,0.3,0,1,baseline1_hdv,1037,0.95,1139,110011,110097,111000,112000,110193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7112823750000005,0.7106931249999999,0.0005892499999999911,2.3709412500000018,2.370952877397831,2.357,2.357,0.6071666666666666,0.6071666666666666,0.2596745833333298,0.25966597164303606,0.27,0.029663333333333333,0.029658465387823185,0.0355,4,425.0,0,0,0,0,0,0,"{""1037"":{""completed_laps"":4,""distance"":4714.0,""mean_lap_time"":425.0,""mean_speed"":2.357,""time_loss"":0.6071666666666666}}",0.0,0,,,
0.3,0.3,0,1,baseline2_matched,1037,0.95,1139,110011,110097,111000,112000,110193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7106211250000023,0.7098557500000015,0.0007653749999999905,2.3687370833333325,2.368159299416182,3.0615,3.0615,0.48975,0.48975,0.2414633333333354,0.2414649708090063,0.2395,0.03202666666666667,0.032041701417848206,0.014,6,328.3333333333333,15837,1606,1606,0,13248,983,"{""1037"":{""completed_laps"":6,""distance"":6123.0,""mean_lap_time"":328.3333333333333,""mean_speed"":3.0615,""time_loss"":0.48975}}",0.0,0,,,
0.3,0.3,0,1,graph_ppo,1037,0.95,1139,110011,110097,111000,112000,110193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7099148749999993,0.7090866250000016,0.0008282499999999875,2.366382916666669,2.3655934111759818,3.313,3.313,0.4478333333333333,0.4478333333333333,0.16567583333333236,0.16565846538782364,0.1865,0.037574583333333335,0.03757256046705588,0.04,6,301.3333333333333,0,3881,3881,0,0,0,"{""1037"":{""completed_laps"":6,""distance"":6626.0,""mean_lap_time"":301.3333333333333,""mean_speed"":3.313,""time_loss"":0.4478333333333333}}",43.1155,147,3881,0,82350
0.3,0.3,0,2,baseline1_hdv,1045,0.95,1139,120011,120097,121000,122000,120193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7352378749999997,0.7346210000000015,0.0006168749999999894,2.450792916666668,2.4507789824854083,2.4675,2.4675,0.5887500000000001,0.5887500000000001,0.03472083333333329,0.03472351959966635,0.0315,0.04597125,0.04597414512093411,0.0425,4,405.0,0,0,0,0,0,0,"{""1045"":{""completed_laps"":4,""distance"":4935.0,""mean_lap_time"":405.0,""mean_speed"":2.4675,""time_loss"":0.5887500000000001}}",0.0,0,,,
0.3,0.3,0,2,baseline2_matched,1045,0.95,1139,120011,120097,121000,122000,120193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7306019999999993,0.729788625000001,0.0008133749999999873,2.4353400000000027,2.4346576313594626,3.2535,3.2535,0.45775,0.45775,0.03797375000000002,0.03799958298582131,0.007,0.047378333333333335,0.047399499582985824,0.022,6,305.5,6624,2786,2786,0,1935,1903,"{""1045"":{""completed_laps"":6,""distance"":6507.0,""mean_lap_time"":305.5,""mean_speed"":3.2535,""time_loss"":0.45775}}",0.0,0,,,
0.3,0.3,0,2,graph_ppo,1045,0.95,1139,120011,120097,121000,122000,120193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7234572499999985,0.7225653749999994,0.0008918749999999847,2.411524166666666,2.4105600500416973,3.5675,3.5675,0.40541666666666665,0.40541666666666665,0.044936666666666764,0.04496580483736412,0.01,0.046745,0.04674770642201835,0.0435,7,281.85714285714283,0,4676,4676,0,0,0,"{""1045"":{""completed_laps"":7,""distance"":7135.0,""mean_lap_time"":281.85714285714283,""mean_speed"":3.5675,""time_loss"":0.40541666666666665}}",29.502,58,4676,0,54328
0.3,0.3,0,3,baseline1_hdv,78,0.95,1139,130011,130097,131000,132000,130193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7357829999999995,0.7351741249999997,0.0006088749999999876,2.4526099999999946,2.452624270225192,2.4355,2.4355,0.5940833333333333,0.5940833333333333,0.03477541666666667,0.03477939949958286,0.03,0.04564125,0.045633444537114265,0.055,4,411.75,0,0,0,0,0,0,"{""78"":{""completed_laps"":4,""distance"":4871.0,""mean_lap_time"":411.75,""mean_speed"":2.4355,""time_loss"":0.5940833333333333}}",0.0,0,,,
