requested_density,effective_density,density_index,run_index,model_preset,comparison_mode,pv_speed_nongraph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,grid-cnn-matched,baseline1_hdv,5.784,2.4445,3.3394999999999997,2.3661280425444873,-0.5565833333333332,-0.023017499999997693,0.9686905743223974,-0.07394208333333596,-0.028999999999999998
0.3,0.3,0,0,grid-cnn-matched,baseline2_matched,5.784,3.656,2.1279999999999997,1.5820568927789933,-0.3546666666666666,-0.01630249999999711,0.9776201974886338,-0.05256833333333377,-0.0015
0.3,0.3,0,0,grid-cnn-matched,policy_noop,5.784,2.526,3.258,2.28978622327791,-0.5429999999999999,-0.024440874999997253,0.9668186800477849,-0.07875458333333363,-0.042499999999999996
0.3,0.3,0,0,grid-cnn-matched,left_if_safe,5.784,5.843,-0.05900000000000016,0.9899024473729249,0.00983333333333336,0.006329125000000602,1.0089671112647562,0.021047916666665945,0.0005
0.3,0.3,0,1,grid-cnn-matched,baseline1_hdv,5.833,2.5125,3.3205,2.321592039800995,-0.5534166666666668,-0.021525500000001307,0.970703087451973,-0.0689845833333349,-0.0265
0.3,0.3,0,1,grid-cnn-matched,baseline2_matched,5.833,3.7075,2.1255,1.5732973701955495,-0.35425000000000006,-0.017172874999999088,0.976487865621281,-0.055471666666667474,-0.002
0.3,0.3,0,1,grid-cnn-matched,policy_noop,5.833,2.572,3.261,2.2678849144634525,-0.5435,-0.023212999999999262,0.9684787407519696,-0.07465916666665917,-0.049
0.3,0.3,0,1,grid-cnn-matched,left_if_safe,5.833,4.237,1.596,1.3766816143497758,-0.266,0.08100837499999913,1.1281368027399445,0.27135791666666575,-0.215
0.3,0.3,0,2,grid-cnn-matched,baseline1_hdv,4.915,2.406,2.509,2.042809642560266,-0.4181666666666667,-0.009386124999999801,0.9868686957008355,-0.029196249999990265,-0.0915
0.3,0.3,0,2,grid-cnn-matched,baseline2_matched,4.915,3.4045,1.5105,1.4436774856807166,-0.25175000000000003,-0.009405375000001381,0.9868421190688266,-0.03009249999999586,-0.05050000000000002
0.3,0.3,0,2,grid-cnn-matched,policy_noop,4.915,2.414,2.501,2.036039768019884,-0.4168333333333333,-0.009476749999999257,0.9867435909317038,-0.029504999999997228,-0.1215
0.3,0.3,0,2,grid-cnn-matched,left_if_safe,4.915,5.1775,-0.2625000000000002,0.9492998551424432,0.043749999999999956,0.002872999999998793,1.004089499981049,0.009357916666669297,0.0725
0.3,0.3,0,3,grid-cnn-matched,baseline1_hdv,5.6765,2.4385,3.238,2.3278654910805825,-0.5396666666666666,-0.021606624999999435,0.9705654619745924,-0.06932375000000235,-0.0245
0.3,0.3,0,3,grid-cnn-matched,baseline2_matched,5.6765,3.618,2.0585,1.5689607517965727,-0.3430833333333333,-0.016301249999997713,0.9776312638807636,-0.05262208333333751,0.002
0.3,0.3,0,3,grid-cnn-matched,policy_noop,5.6765,2.568,3.1085,2.21047507788162,-0.5180833333333333,-0.024670624999999835,0.9665310998009657,-0.07964500000000907,-0.0375
0.3,0.3,0,3,grid-cnn-matched,left_if_safe,5.6765,5.8615,-0.1850000000000005,0.9684381131109784,0.03083333333333349,0.0064384999999991255,1.0091195366082775,0.02130749999999848,0.008
0.3,0.3,0,4,grid-cnn-matched,baseline1_hdv,5.8665,2.4535,3.4130000000000003,2.391073975952721,-0.5688333333333334,-0.01979762499999793,0.9730159579325591,-0.06314791666666064,-0.0365
0.3,0.3,0,4,grid-cnn-matched,baseline2_matched,5.8665,3.666,2.2005000000000003,1.6002454991816695,-0.36675,-0.014544249999998038,0.9800333081363001,-0.04664708333333545,-0.002
0.3,0.3,0,4,grid-cnn-matched,policy_noop,5.8665,2.5135,3.353,2.333996419335588,-0.5588333333333334,-0.022490999999998595,0.9694570291287766,-0.07217583333333577,-0.04
0.3,0.3,0,4,grid-cnn-matched,left_if_safe,5.8665,5.575,0.2915000000000001,1.052286995515695,-0.04858333333333331,0.007787499999999281,1.0110289867618512,0.026201250000001508,-0.008499999999999999
0.3,0.3,0,5,grid-cnn-matched,baseline1_hdv,5.004,2.4785,2.5254999999999996,2.018963082509582,-0.4209166666666667,-0.03191325000000178,0.9565865705165951,-0.1042729166666656,0.059000000000000004
0.3,0.3,0,5,grid-cnn-matched,baseline2_matched,5.004,3.632,1.3719999999999994,1.3777533039647576,-0.22866666666666657,-0.024965124999999144,0.9657144397243583,-0.08207374999999617,0.081
0.3,0.3,0,5,grid-cnn-matched,policy_noop,5.004,2.4835,2.5204999999999997,2.01489832897121,-0.42008333333333325,-0.03355575000000233,0.9544539508074948,-0.1097520833333232,0.030000000000000006
0.3,0.3,0,5,grid-cnn-matched,left_if_safe,5.004,5.8845,-0.8805000000000005,0.8503696150904919,0.14675000000000005,-0.001873250000002269,0.9973431372149216,-0.0069779166666652515,0.084
0.3,0.3,0,6,grid-cnn-matched,baseline1_hdv,5.7365,2.4895,3.2470000000000003,2.3042779674633462,-0.5411666666666668,-0.019289374999997277,0.9736710684429413,-0.061592083333334546,-0.0445
0.3,0.3,0,6,grid-cnn-matched,baseline2_matched,5.7365,3.553,2.1835000000000004,1.6145510835913315,-0.3639166666666668,-0.014934749999998553,0.9794930011056958,-0.047962916666673294,-0.005
0.3,0.3,0,6,grid-cnn-matched,policy_noop,5.7365,2.4975,3.2390000000000003,2.296896896896897,-0.5398333333333334,-0.024983249999997792,0.9661622247948678,-0.08057833333333253,-0.0525
0.3,0.3,0,6,grid-cnn-matched,left_if_safe,5.7365,5.71,0.026500000000000412,1.0046409807355516,-0.004416666666666735,0.006784125000000252,1.0096016686554783,0.022635833333334077,-0.002
0.3,0.3,0,7,grid-cnn-matched,baseline1_hdv,5.6675,2.4365,3.2310000000000003,2.326082495382721,-0.5385000000000001,-0.023745249999999718,0.9677234974746234,-0.0764583333333353,-0.0305
0.3,0.3,0,7,grid-cnn-matched,baseline2_matched,5.6675,3.7445,1.9230000000000005,1.5135532113766859,-0.3205000000000001,-0.017346125000000212,0.9762148274032801,-0.05621791666667075,-0.001
0.3,0.3,0,7,grid-cnn-matched,policy_noop,5.6675,2.533,3.1345000000000005,2.2374654559810505,-0.5224166666666669,-0.02595612499999911,0.9648240048313241,-0.08390833333333614,-0.0495
0.3,0.3,0,7,grid-cnn-matched,left_if_safe,5.6675,3.7015,1.9660000000000006,1.5311360259354319,-0.3276666666666668,0.09797237500000111,1.159573322322929,0.32821291666666763,-0.276
0.3,0.3,0,8,grid-cnn-matched,baseline1_hdv,5.3885,2.431,2.9574999999999996,2.2165775401069516,-0.49291666666666656,-0.02509312500000138,0.9658044576085638,-0.08117916666666813,0.009500000000000001
0.3,0.3,0,8,grid-cnn-matched,baseline2_matched,5.3885,3.7025,1.6859999999999995,1.4553679945982443,-0.2809999999999999,-0.018178249999999063,0.9749920165883013,-0.05918916666666485,0.016000000000000004
0.3,0.3,0,8,grid-cnn-matched,policy_noop,5.3885,2.573,2.8154999999999997,2.0942479595802563,-0.46924999999999983,-0.027997249999999307,0.9619972733758823,-0.09097791666667066,0.008
0.3,0.3,0,8,grid-cnn-matched,left_if_safe,5.3885,5.842,-0.4535,0.922372475179733,0.07558333333333334,0.0023616250000007,1.00334338253407,0.0074941666666688,0.0415
0.3,0.3,0,9,grid-cnn-matched,baseline1_hdv,5.832,2.3915,3.4404999999999997,2.4386368388040975,-0.5734166666666667,-0.012187249999997651,0.9831916199800775,-0.037757083333327834,-0.136
0.3,0.3,0,9,grid-cnn-matched,baseline2_matched,5.832,3.637,2.195,1.603519384107781,-0.36583333333333334,-0.016618374999999186,0.9772195308848114,-0.05356541666666592,-0.0035
0.3,0.3,0,9,grid-cnn-matched,policy_noop,5.832,2.54,3.292,2.296062992125984,-0.5486666666666666,-0.021342124999999434,0.9709324358787967,-0.06839708333333361,-0.08449999999999999
0.3,0.3,0,9,grid-cnn-matched,left_if_safe,5.832,5.8805,-0.048499999999999766,0.9917524020066322,0.008083333333333331,0.007446625000000595,1.0105560603655053,0.024781666666664925,0.001
0.3,0.3,0,10,grid-cnn-matched,baseline1_hdv,4.6245,2.402,2.2225,1.925270607826811,-0.3704166666666666,-0.04582212500000293,0.9375952047775141,-0.1508883333333353,0.0565
0.3,0.3,0,10,grid-cnn-matched,baseline2_matched,4.6245,3.6045,1.0200000000000005,1.2829796088223056,-0.17000000000000004,-0.03842337499999915,0.9471388600840253,-0.127227916666663,0.087
0.3,0.3,0,10,grid-cnn-matched,policy_noop,4.6245,2.526,2.0985000000000005,1.8307600950118768,-0.34975,-0.048468750000000727,0.9342278570935437,-0.15981374999999787,0.0605
0.3,0.3,0,10,grid-cnn-matched,left_if_safe,4.6245,5.868,-1.2435,0.7880879345603272,0.20725000000000005,-0.017201000000000466,0.9756239403629017,-0.05837291666667088,0.1095
0.3,0.3,0,11,grid-cnn-matched,baseline1_hdv,4.526,2.5595,1.9665,1.768314123852315,-0.32775,-0.06408637500000036,0.9127016627841178,-0.21198249999999996,0.128
0.3,0.3,0,11,grid-cnn-matched,baseline2_matched,4.526,3.648,0.8779999999999997,1.2406798245614035,-0.14633333333333332,-0.05929499999999999,0.918697821418349,-0.19691833333333708,0.147
0.3,0.3,0,11,grid-cnn-matched,policy_noop,4.526,2.462,2.0639999999999996,1.8383428107229893,-0.34399999999999986,-0.05450700000000075,0.9247689789873608,-0.17996999999999996,-0.01100000000000001
0.3,0.3,0,11,grid-cnn-matched,left_if_safe,4.526,5.857,-1.3310000000000004,0.7727505548915826,0.22183333333333344,-0.03632950000000035,0.9485673371196953,-0.12220749999999736,0.1485
0.3,0.3,0,12,grid-cnn-matched,baseline1_hdv,5.8265,2.482,3.3445,2.347502014504432,-0.5574166666666668,-0.019921124999995543,0.9728856750670564,-0.06361666666666421,-0.052
0.3,0.3,0,12,grid-cnn-matched,baseline2_matched,5.8265,3.598,2.2285000000000004,1.6193718732629239,-0.37141666666666673,-0.014677374999998771,0.9798792539324227,-0.04706749999999227,-0.0075
0.3,0.3,0,12,grid-cnn-matched,policy_noop,5.8265,2.5115,3.3150000000000004,2.3199283296834565,-0.5525000000000001,-0.010023374999997725,0.9861710453383897,-0.030648750000003666,-0.138
0.3,0.3,0,12,grid-cnn-matched,left_if_safe,5.8265,5.86,-0.033500000000000085,0.994283276450512,0.0055833333333332735,0.00890737500000316,1.0126188233127489,0.029663333333340258,-0.0005
0.3,0.3,0,13,grid-cnn-matched,baseline1_hdv,5.87,2.465,3.4050000000000002,2.3813387423935093,-0.5675,-0.019310749999998822,0.9736988609297876,-0.061531666666667206,-0.0345
0.3,0.3,0,13,grid-cnn-matched,baseline2_matched,5.87,3.6225,2.2475,1.6204278812974464,-0.3745833333333334,-0.008154125000001566,0.988722764429329,-0.02530750000000115,-0.0505
0.3,0.3,0,13,grid-cnn-matched,policy_noop,5.87,2.496,3.374,2.3517628205128207,-0.5623333333333335,-0.023037125000001435,0.9687819987604047,-0.07397874999999754,-0.0505
0.3,0.3,0,13,grid-cnn-matched,left_if_safe,5.87,5.5245,0.34550000000000036,1.0625395963435607,-0.05758333333333343,0.006107499999999155,1.0086166882289607,0.020646250000000865,0.0
0.3,0.3,0,14,grid-cnn-matched,baseline1_hdv,5.8495,2.43,3.4194999999999998,2.407201646090535,-0.5699166666666666,-0.017883250000001016,0.9755887728762461,-0.056761249999993435,-0.0495
0.3,0.3,0,14,grid-cnn-matched,baseline2_matched,5.8495,3.508,2.3415,1.6674743443557583,-0.39025,-0.003457375000001428,0.9951857680169901,-0.009573333333328549,-0.103
0.3,0.3,0,14,grid-cnn-matched,policy_noop,5.8495,2.5615,3.288,2.2836228772203784,-0.548,-0.02248024999999998,0.969505073387775,-0.07219416666666056,-0.0475
0.3,0.3,0,14,grid-cnn-matched,left_if_safe,5.8495,3.0495,2.8,1.9181833087391376,-0.4666666666666667,0.14861012499999982,1.2625204886947008,0.49770041666667564,-0.3915
0.3,0.3,0,15,grid-cnn-matched,baseline1_hdv,4.591,2.455,2.136,1.870061099796334,-0.356,-0.011738000000000026,0.9834881988730956,-0.03734666666667019,-0.07949999999999999
0.3,0.3,0,15,grid-cnn-matched,baseline2_matched,4.591,3.3125,1.2785000000000002,1.3859622641509435,-0.2130833333333333,-0.011269874999999097,0.9841362621515287,-0.03650083333333587,-0.05299999999999999
0.3,0.3,0,15,grid-cnn-matched,policy_noop,4.591,2.4725,2.1185,1.856825075834176,-0.3530833333333333,-0.011842374999999294,0.9833438204728312,-0.03770916666666979,-0.096
