requested_density,effective_density,density_index,run_index,mode,model_preset,priority_vehicle_id,av_fraction,av_vehicle_count,scenario_seed,warmup_rng_seed,assignment_seed,av_selection_seed,measurement_rng_seed,backend_requested,warmup_backend,measurement_backend,num_lanes,road_length,warmup_steps,measure_steps,measurement_steps,vehicle_count,priority_vehicle_count,density,flow_all,flow_background,flow_priority,mean_speed_all,mean_speed_background,mean_speed_priority,worst_priority_mean_speed,mean_priority_time_loss,worst_priority_time_loss,stopped_fraction_all,stopped_fraction_background,stopped_fraction_priority,lane_change_rate_all,lane_change_rate_background,lane_change_rate_priority,completed_priority_laps,mean_priority_lap_time,rule_detections,rule_requests,rule_applied,rule_rejected,rule_blocked_no_safe_lane,rule_cooldown_suppressed,per_priority_vehicle,active_av_count_mean,active_av_count_max,policy_left_requests,policy_right_requests,policy_stay_actions
0.1,0.1,0,0,baseline1_hdv,node-mlp-matched,168,0.9,359,410012,410098,411001,412001,410194,optimized,optimized,optimized,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.46797937499999914,0.46671724999999986,0.001262125000000006,4.679793750000011,4.678869674185433,5.0485,5.0485,0.1585833333333334,0.1585833333333334,8.750000000000001e-06,8.771929824561403e-06,0.0,0.000605,0.00041604010025062655,0.076,10,198.2,0,0,0,0,0,0,"{""168"":{""completed_laps"":10,""distance"":10097.0,""mean_lap_time"":198.2,""mean_speed"":5.0485,""time_loss"":0.1585833333333334}}",0.0,0,,,
0.1,0.1,0,0,baseline2_matched,node-mlp-matched,168,0.9,359,410012,410098,411001,412001,410194,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.47034637500000037,0.4689203750000008,0.0014260000000000295,4.703463749999992,4.700956140350932,5.704,5.704,0.04933333333333334,0.04933333333333334,1.625e-05,1.6290726817042605e-05,0.0,0.001425,0.0013859649122807017,0.017,11,175.63636363636363,546,484,484,0,52,10,"{""168"":{""completed_laps"":11,""distance"":11408.0,""mean_lap_time"":175.63636363636363,""mean_speed"":5.704,""time_loss"":0.04933333333333334}}",0.0,0,,,
0.1,0.1,0,0,policy_noop,node-mlp-matched,168,0.9,359,410012,410098,411001,412001,410194,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.4685800000000011,0.467327874999999,0.0012521250000000043,4.685799999999994,4.684991228070155,5.0085,5.0085,0.16525,0.16525,1.2499999999999999e-05,8.771929824561403e-06,0.0015,0.00050125,0.00032832080200501253,0.0695,10,199.7,0,0,0,0,0,0,"{""168"":{""completed_laps"":10,""distance"":10017.0,""mean_lap_time"":199.7,""mean_speed"":5.0085,""time_loss"":0.16525}}",14.4365,21,0,0,28873
0.1,0.1,0,0,left_if_safe,node-mlp-matched,168,0.9,359,410012,410098,411001,412001,410194,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.46721225000000044,0.46579287499999966,0.001419375000000033,4.672122499999992,4.669602756892241,5.6775,5.6775,0.053749999999999964,0.053749999999999964,0.00030374999999999917,0.00030325814536340766,0.0005,0.0032175,0.0031779448621553886,0.019,11,176.27272727272728,0,969,969,0,0,0,"{""168"":{""completed_laps"":11,""distance"":11355.0,""mean_lap_time"":176.27272727272728,""mean_speed"":5.6775,""time_loss"":0.053749999999999964}}",9.1,15,969,0,17231
0.1,0.1,0,0,nongraph_ppo,node-mlp-matched,168,0.9,359,410012,410098,411001,412001,410194,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.4677743750000016,0.4663211249999995,0.0014532500000000279,4.6777437499999905,4.674898496240593,5.813,5.813,0.031166666666666676,0.031166666666666676,0.0003162499999999991,0.0003170426065162899,0.0,0.00377375,0.00375062656641604,0.013,11,172.27272727272728,0,1597,1597,0,0,0,"{""168"":{""completed_laps"":11,""distance"":11626.0,""mean_lap_time"":172.27272727272728,""mean_speed"":5.813,""time_loss"":0.031166666666666676}}",9.216,14,328,1269,16835
0.1,0.1,0,1,baseline1_hdv,node-mlp-matched,365,0.9,359,420012,420098,421001,422001,420194,optimized,optimized,optimized,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.4683737500000001,0.46711450000000004,0.0012592500000000056,4.683737499999994,4.682852130325814,5.037,5.037,0.16049999999999998,0.16049999999999998,1e-05,5.012531328320802e-06,0.002,0.000485,0.00029448621553884713,0.0765,10,198.6,0,0,0,0,0,0,"{""365"":{""completed_laps"":10,""distance"":10074.0,""mean_lap_time"":198.6,""mean_speed"":5.037,""time_loss"":0.16049999999999998}}",0.0,0,,,
0.1,0.1,0,1,baseline2_matched,node-mlp-matched,365,0.9,359,420012,420098,421001,422001,420194,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.47062825000000086,0.4692047500000007,0.0014235000000000285,4.706282500000009,4.703807017543908,5.694,5.694,0.051000000000000045,0.051000000000000045,1.2499999999999999e-05,1.2531328320802004e-05,0.0,0.00159875,0.0015676691729323308,0.014,11,175.72727272727272,674,531,531,0,135,8,"{""365"":{""completed_laps"":11,""distance"":11388.0,""mean_lap_time"":175.72727272727272,""mean_speed"":5.694,""time_loss"":0.051000000000000045}}",0.0,0,,,
0.1,0.1,0,1,policy_noop,node-mlp-matched,365,0.9,359,420012,420098,421001,422001,420194,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.468172125,0.46692937500000015,0.001242750000000005,4.681721249999998,4.68099624060151,4.971,4.971,0.17149999999999999,0.17149999999999999,2e-05,1.3784461152882205e-05,0.0025,0.00050875,0.0003383458646616541,0.0685,9,201.88888888888889,0,0,0,0,0,0,"{""365"":{""completed_laps"":9,""distance"":9942.0,""mean_lap_time"":201.88888888888889,""mean_speed"":4.971,""time_loss"":0.17149999999999999}}",14.734,18,0,0,29468
0.1,0.1,0,1,left_if_safe,node-mlp-matched,365,0.9,359,420012,420098,421001,422001,420194,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.4667103749999994,0.46526637500000034,0.0014440000000000269,4.667103749999999,4.664324561403495,5.776,5.776,0.03733333333333333,0.03733333333333333,0.0003337499999999987,0.0003345864661654121,0.0,0.003485,0.0034586466165413532,0.014,11,173.27272727272728,0,1098,1098,0,0,0,"{""365"":{""completed_laps"":11,""distance"":11552.0,""mean_lap_time"":173.27272727272728,""mean_speed"":5.776,""time_loss"":0.03733333333333333}}",9.209,14,1098,0,17320
0.1,0.1,0,1,nongraph_ppo,node-mlp-matched,365,0.9,359,420012,420098,421001,422001,420194,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.46781987499999955,0.46643462499999955,0.0013852500000000232,4.678198750000005,4.676036340852092,5.541,5.541,0.0764999999999999,0.0764999999999999,0.00033249999999999876,0.0003333333333333321,0.0,0.0033875,0.0033408521303258144,0.022,11,180.63636363636363,0,1432,1432,0,0,0,"{""365"":{""completed_laps"":11,""distance"":11082.0,""mean_lap_time"":180.63636363636363,""mean_speed"":5.541,""time_loss"":0.0764999999999999}}",8.8025,19,332,1100,16173
0.1,0.1,0,2,baseline1_hdv,node-mlp-matched,200,0.9,359,430012,430098,431001,432001,430194,optimized,optimized,optimized,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.4688112500000007,0.4675517499999997,0.0012595000000000035,4.688112500000001,4.687235588972431,5.038,5.038,0.16033333333333333,0.16033333333333333,8.750000000000001e-06,6.265664160401002e-06,0.001,0.00053625,0.00034711779448621556,0.076,10,198.5,0,0,0,0,0,0,"{""200"":{""completed_laps"":10,""distance"":10076.0,""mean_lap_time"":198.5,""mean_speed"":5.038,""time_loss"":0.16033333333333333}}",0.0,0,,,
0.1,0.1,0,2,baseline2_matched,node-mlp-matched,200,0.9,359,430012,430098,431001,432001,430194,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,400,1,0.09999999999999647,0.47116437500000014,0.4697188749999997,0.0014455000000000273,4.711643750000007,4.7089611528822495,5.782,5.782,0.03633333333333333,0.03633333333333333,1.75e-05,1.7543859649122806e-05,0.0,0.00139125,0.0013671679197994988,0.011,11,172.72727272727272,542,435,435,0,105,2,"{""200"":{""completed_laps"":11,""distance"":11564.0,""mean_lap_time"":172.72727272727272,""mean_speed"":5.782,""time_loss"":0.03633333333333333}}",0.0,0,,,
