requested_density,model_preset,comparison_mode,runs,pv_speed_win_rate,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,nongraph_ppo_speed_advantage
0.1,node-mlp-matched,baseline1_hdv,20,1.0,0.9510499999999998,0.0277995172241305,0.9389993749999997,0.9628256249999998,-0.15850833333333333,0.004633252870688446,-0.160479375,-0.1565873958333333,-0.003997581249998503,0.0005487502851502346,-0.004226564687498781,-0.003754136718748163,0.991443984307867,0.0011718382642494011,0.9909451588272638,0.9919437824399394,-0.03759818750000008,0.005511518537688848,-0.03987238749999935,-0.03526385156249668,-0.0014249999999999998,0.0008626001086067756,-0.0018000000000000002,-0.001075,True
0.1,node-mlp-matched,baseline2_matched,20,0.95,0.04542499999999987,0.022305460152876825,0.03542499999999991,0.054224999999999614,-0.007570833333333332,0.0037175766921461384,-0.009070833333333328,-0.005904166666666705,-0.005618918749999743,0.0006350786087311397,-0.005895384062499911,-0.005346305781249924,0.9880155034217678,0.001348632827574245,0.9874334084331265,0.9885882732689992,-0.05607562500000043,0.006388142599510276,-0.05875406718749868,-0.0534225453125013,0.0,0.0,0.0,0.0,True
0.1,node-mlp-matched,left_if_safe,20,0.6,0.0028000000000000026,0.029870510012737498,-0.010275625000000024,0.015400625000000024,-0.0004666666666666708,0.004978418335456241,-0.0026042708333333504,0.0016666666666666392,0.0005583812499998398,0.0007142392224594211,0.0002603267187500707,0.0008575923437497711,1.001207987669408,0.0015448084927853051,1.0005453129026751,1.0018715379083982,0.005590812500002729,0.007174050371264387,0.0025778781250035358,0.00861114843749947,-0.000125,0.0005590169943749475,-0.000375,0.0,False
0.1,node-mlp-matched,policy_noop,20,1.0,0.969975,0.033632876694342416,0.9556000000000001,0.9843256249999999,-0.16166250000000001,0.005605479449057078,-0.16407916666666666,-0.1592040625,-0.0038808499999988784,0.0005364306139832058,-0.004101877656248935,-0.003649380156248818,0.991691603109415,0.0011467927527400018,0.9912163785583555,0.9921942369991743,-0.03638356249999926,0.005396730389216896,-0.038629484374997795,-0.03403314687499931,-0.0013250000000000002,0.0006340139463848775,-0.0016,-0.0010500000000000002,True
0.2,node-mlp-matched,baseline1_hdv,20,1.0,1.8562,0.1346610169042407,1.79874625,1.9129506250000003,-0.3093666666666667,0.022443502817373458,-0.3187335416666666,-0.2996248958333333,-0.027569812500000034,0.0020522701384608584,-0.028459908750000495,-0.026713491249999936,0.9648895590745502,0.002559488148579801,0.9638133033136338,0.9659612695466896,-0.13552881249999837,0.010315891057094987,-0.13988719531250185,-0.1311882031249972,-0.0031249999999999997,0.0034254273648085063,-0.004475000000000001,-0.0015993750000000088,True
0.2,node-mlp-matched,baseline2_matched,20,1.0,0.46240000000000003,0.11989673188118803,0.41112375,0.511255,-0.07706666666666667,0.019982788646864674,-0.08520833333333333,-0.06800385416666668,-0.021794343749999955,0.001642787712562211,-0.02250677703125048,-0.02108746671875017,0.9720379407814737,0.0020808816149976254,0.9711527967109097,0.9729385779843077,-0.10839371874999766,0.008247873216878943,-0.11191353749999727,-0.10484576718749715,0.0009250000000000001,0.0027109670055652014,-0.000125,0.002175,True
0.2,node-mlp-matched,left_if_safe,20,0.45,0.31099999999999994,1.1238724407858278,-0.04110062500000004,0.8674868749999998,-0.05183333333333333,0.1873120734643047,-0.14432270833333333,0.005942187499999972,0.03208493750000009,0.08789980997258345,0.008496662656249898,0.0748726531250001,1.0725107764120463,0.24629148243753216,1.0113282253471698,1.1881969185065815,0.16081343750000027,0.4408585488109362,0.04260460624999894,0.37450597031249716,-0.04667500000000001,0.1783351571885748,-0.133050625,0.00115,False
0.2,node-mlp-matched,policy_noop,20,1.0,1.8429749999999998,0.11369956661029272,1.792849375,1.8897749999999998,-0.30716249999999995,0.01894992776838212,-0.3148333333333333,-0.29879979166666665,-0.029345906249999852,0.001912056658656377,-0.030164987656250246,-0.02855221937499976,0.9627108397571037,0.002383335590801652,0.9616871499427821,0.9637277921748589,-0.14442581249999814,0.009574862451131542,-0.14838494062500082,-0.1403027953124996,-0.0029749999999999998,0.0036254763752324214,-0.0044,-0.00135,True
0.3,node-mlp-matched,baseline1_hdv,20,1.0,3.3192500000000003,0.13718691628577417,3.2577974999999997,3.375179375,-0.5532083333333333,0.02286448604762905,-0.5625084374999999,-0.5428830208333333,-0.025593681250000177,0.005078654341152221,-0.027494579375000543,-0.023207585781250022,0.9650886296928987,0.006781796772124291,0.9625387807188549,0.9682481571927961,-0.08254622916666768,0.016871528389638773,-0.08880435416666861,-0.07476597812500047,-0.05597499999999998,0.04591453015056746,-0.077775,-0.0393,True
0.3,node-mlp-matched,baseline2_matched,20,1.0,2.094475,0.13909826846324755,2.0347493749999996,2.1527499999999993,-0.34907916666666666,0.023183044743874583,-0.3588792708333333,-0.3391958333333333,-0.020950231250000208,0.0034647813934027827,-0.022169755937499928,-0.019293988437500246,0.9712255503635939,0.004678764267251089,0.9695855207604696,0.9734475928736566,-0.06808870833333473,0.011585703991045962,-0.0721682192708332,-0.06269097760416942,-0.015575,0.03995335273461843,-0.03512499999999999,-0.001424375000000009,True
0.3,node-mlp-matched,left_if_safe,20,0.6,0.42559999999999987,0.9827428533393024,0.06839749999999982,0.900276875,-0.07093333333333332,0.1637904755565504,-0.15136281249999997,-0.012541562499999971,0.02127211874999972,0.0593098603426604,0.0016588323437497464,0.049888623906249534,1.041386039605858,0.12655444318676007,1.0020202600657728,1.1044660321818633,0.07126172916666568,0.19848950021486314,0.0047813531249975205,0.16954038593749804,-0.0568,0.1454862446020965,-0.12744999999999998,-0.007074375000000009,True
0.3,node-mlp-matched,policy_noop,20,1.0,3.2470999999999997,0.11357394994127458,3.1961493749999996,3.2933768750000003,-0.5411833333333332,0.018928991656879102,-0.5488416666666666,-0.5326955208333333,-0.028638993750000598,0.005630040872070159,-0.0306174014062504,-0.02599014812500065,0.9611009262053993,0.007509790049408705,0.958474969126125,0.9647302931991435,-0.09275739583333367,0.018743442337110075,-0.09929584635416522,-0.08401185833333388,-0.05960000000000001,0.04548383171379057,-0.08162562500000001,-0.04404999999999999,True
0.4,node-mlp-matched,baseline1_hdv,20,1.0,1.22945,0.22652697643466568,1.1200999999999999,1.3087018750000001,-0.20490833333333333,0.0377544960724443,-0.21829166666666672,-0.18672489583333335,-0.012555218749999791,0.03219660201967431,-0.02860943265624972,-0.0012705599999997769,0.9792008520832136,0.05334007459875294,0.9529410005685336,0.9978984937447781,-0.03061964062500048,0.08060373102801176,-0.06996265898437531,-0.0023098394531255294,-0.08607499999999998,0.046018095697007565,-0.10652499999999995,-0.067374375,True
0.4,node-mlp-matched,baseline2_matched,20,0.95,0.7171,0.24046241636524107,0.6018443750000001,0.8036512499999998,-0.11951666666666667,0.04007706939420687,-0.13366687500000002,-0.1001165625,-0.01413273749999947,0.03272959124915877,-0.029654422187499578,-0.0026389743749998884,0.9766941879929206,0.05394396457841816,0.9499329002609209,0.995625267820229,-0.034883656249999985,0.08194265151830583,-0.07445885039062478,-0.006365878906250024,-0.04365,0.04814919248380086,-0.065575625,-0.024474375,True
0.4,node-mlp-matched,left_if_safe,20,0.45,0.014549999999999997,0.32640005724328697,-0.12812562499999997,0.1554006249999999,-0.002425000000000044,0.05440000954054784,-0.025938645833333347,0.021179687499999954,-0.005592618750000014,0.04516300438017729,-0.024992778437500446,0.013842997500000448,0.9935851872271041,0.08454097227966176,0.9590617900832843,1.0332405987972095,-0.013972453125000062,0.11308830180538064,-0.06172625664062511,0.03465442421875006,-0.022224999999999995,0.05682555832499465,-0.046926249999999996,0.001025624999999992,False
0.4,node-mlp-matched,policy_noop,20,1.0,1.213325,0.22635604667960843,1.107298125,1.294400625,-0.20222083333333335,0.037726007779934734,-0.2157419791666667,-0.18369937500000003,-0.01263629374999975,0.03226750508613928,-0.028827721875000073,-0.001363196249999984,0.9790744011662843,0.05346849151048738,0.9525557164612475,0.9978879931774756,-0.030832406250000922,0.08077900437350657,-0.0701775734375008,-0.0023955539062507445,-0.09972499999999998,0.04426132772047115,-0.11900000000000002,-0.08127499999999999,True
0.5,node-mlp-matched,baseline1_hdv,20,1.0,1.0198000000000003,0.11807060777794205,0.9653500000000002,1.0675256250000003,-0.16996666666666665,0.019678434629657016,-0.17769604166666667,-0.16107489583333334,-0.0011497937499997002,0.013565234891017632,-0.007706955624999892,0.003015175000000252,0.9977088600251107,0.027020636369633567,0.9842805879034034,1.0060139185615133,-0.0017896874999996093,0.027170830031933033,-0.015119939062499598,0.006560972812500405,-0.096875,0.03562741219903572,-0.11277625000000002,-0.08234937500000002,True
0.5,node-mlp-matched,baseline2_matched,20,1.0,0.5509,0.122128987032908,0.49347374999999993,0.5975512499999999,-0.09181666666666663,0.020354831172151356,-0.09953760416666664,-0.08188749999999997,-0.0031545187499998793,0.013519557761245615,-0.009596039062499897,0.0009114815625000714,0.9937415658085784,0.02681707538581319,0.9805769284168585,1.0018354151494868,-0.006033587500000432,0.02708587777575957,-0.019110851875000306,0.0022028531249994876,0.032900000000000006,0.04051724778931871,0.015825000000000006,0.050225624999999975,True
